,Last,First,Minutes,Seconds,Goals,Shots,Action Goals,Action Shots,Center Goals,Center Shots,Drive Goals,Drive Shots,Extra Goals,Extra Shots,Foul Goals,Foul Shots,6MF Goals,6MF Shots,PS Goals,PS Shots,CA Goals,CA Shots,TF,ST,RB,BL,SP Won,SP Attempts,CP EX,FP EX,DS EX,M6 EX,CS EX,DE,P EX,Total EX,Team,Opponent,Outcome,stat_type
408,SHAKENOV,Murat,24.0,54.0,0.0,8.0,0.0,7.0,,,,,0.0,1.0,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,0.0,KAZ,ESP,L,Player
409,VUKSANOVIC,Srdan,29.0,33.0,2.0,8.0,1.0,4.0,,,,,1.0,3.0,,,,,,,0.0,1.0,1.0,1.0,,1.0,,,,,,,,,,0.0,KAZ,ESP,L,Player
410,UKUMANOV,Rustam,16.0,53.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,KAZ,ESP,L,Player
411,RUDAY,Mikhail,16.0,24.0,1.0,2.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,KAZ,ESP,L,Player
412,ALTAYEV,Altay,15.0,36.0,0.0,2.0,0.0,1.0,,,,,0.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,0.0,KAZ,ESP,L,Player
413,SHVEDOV,Stanislav,14.0,14.0,0.0,2.0,0.0,1.0,,,,,0.0,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,0.0,KAZ,ESP,L,Player
414,,,,,4.0,30.0,1.0,18.0,1.0,3.0,,,2.0,8.0,,,,,,,0.0,1.0,5.0,5.0,5.0,3.0,1.0,4.0,6.0,2.0,1.0,,,,2.0,11.0,KAZ,ESP,L,Team
415,BIJAC,Marko,32.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,CRO,MNE,W,Player
416,MACAN,Marko,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,3.0,CRO,MNE,W,Player
417,FATOVIC,Loren,24.0,29.0,3.0,8.0,1.0,4.0,,,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,CRO,MNE,W,Player
418,LONCAR,Luka,17.0,35.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,0.0,CRO,MNE,W,Player
419,JOKOVIC,Maro,26.0,0.0,0.0,1.0,,,,,,,,,,,,,,,0.0,1.0,,1.0,1.0,1.0,,,,1.0,,,,,,1.0,CRO,MNE,W,Player
420,BUKIC,Luka,26.0,12.0,2.0,6.0,0.0,3.0,,,,,2.0,3.0,,,,,,,,,1.0,1.0,1.0,,2.0,2.0,,,,,,,,0.0,CRO,MNE,W,Player
421,VUKICEVIC,Ante,18.0,44.0,2.0,6.0,2.0,6.0,,,,,,,,,,,,,,,,1.0,1.0,,,,2.0,,,,,,,2.0,CRO,MNE,W,Player
422,BUSLJE,Andro,15.0,12.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,1.0,3.0,,,3.0,,,,,,,3.0,CRO,MNE,W,Player
423,MILOS,Lovre,13.0,39.0,1.0,3.0,,,,,,,0.0,2.0,,,,,,,1.0,1.0,,1.0,1.0,,2.0,2.0,,,,,,,,0.0,CRO,MNE,W,Player
424,VRLIC,Josip,16.0,11.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,2.0,CRO,MNE,W,Player
425,OBRADOVIC,Paulo,11.0,5.0,1.0,3.0,,,0.0,1.0,,,1.0,2.0,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,1.0,CRO,MNE,W,Player
426,GARCIA GADEA,Javier,17.0,51.0,2.0,4.0,1.0,2.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,CRO,MNE,W,Player
427,,,,,13.0,33.0,4.0,15.0,1.0,2.0,1.0,1.0,6.0,13.0,,,,,,,1.0,2.0,4.0,5.0,6.0,5.0,4.0,4.0,10.0,3.0,,,1.0,,,14.0,CRO,MNE,W,Team
428,BRGULJAN,Drasko,25.0,15.0,0.0,3.0,0.0,2.0,,,,,0.0,1.0,,,,,,,,,,,,2.0,0.0,2.0,,1.0,,,,,,1.0,MNE,CRO,L,Player
429,PERKOVIC,Miroslav,7.0,26.0,2.0,2.0,,,,,,,2.0,2.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,MNE,CRO,L,Player
430,PETKOVIC,Marko,21.0,43.0,0.0,3.0,0.0,2.0,,,,,0.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,0.0,MNE,CRO,L,Player
431,CUCKOVIC,Uros,8.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,MNE,CRO,L,Player
432,POPADIC,Vlado,20.0,3.0,0.0,4.0,0.0,2.0,0.0,1.0,,,,,0.0,1.0,,,,,,,,1.0,,,,,2.0,,,,,,,2.0,MNE,CRO,L,Player
433,VIDOVIC,Stefan,13.0,50.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,MNE,CRO,L,Player
434,UKROPINA,Aleksa,18.0,42.0,1.0,5.0,1.0,3.0,,,,,0.0,2.0,,,,,,,,,1.0,,1.0,,0.0,1.0,,1.0,,,,,,1.0,MNE,CRO,L,Player
435,IVOVIC,Aleksandar,28.0,24.0,2.0,5.0,1.0,3.0,,,,,1.0,1.0,0.0,1.0,,,,,,,1.0,1.0,2.0,,,,2.0,,,,,,,2.0,MNE,CRO,L,Player
436,SPAIC,Vladan,17.0,6.0,0.0,2.0,,,0.0,1.0,,,0.0,1.0,,,,,,,,,2.0,,1.0,,,,,,,,,,,0.0,MNE,CRO,L,Player
437,MATKOVIC,Dusan,23.0,27.0,2.0,3.0,,,,,,,1.0,2.0,,,,,,,1.0,1.0,1.0,,2.0,,0.0,1.0,1.0,,,,,,,1.0,MNE,CRO,L,Player
438,BANICEVIC,Dusan,7.0,41.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,MNE,CRO,L,Player
439,TESANOVIC,Petar,32.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,MNE,CRO,L,Player
440,,,,,8.0,28.0,2.0,12.0,0.0,2.0,,,5.0,11.0,0.0,2.0,,,,,1.0,1.0,7.0,5.0,6.0,2.0,0.0,4.0,9.0,2.0,,,,,,11.0,MNE,CRO,L,Team
441,MANDIC,Dusan,17.0,58.0,4.0,5.0,,,,,,,3.0,3.0,0.0,1.0,,,1.0,1.0,,,,1.0,1.0,,,,,,,,2.0,,,2.0,SRB,AUS,W,Player
442,DEDOVIC,Nikola,22.0,21.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,1.0,,,0.0,1.0,,,,,,,,0.0,SRB,AUS,W,Player
443,RANDELOVIC,Sava,9.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,2.0,SRB,AUS,W,Player
444,LAZIC,Dorde,18.0,44.0,0.0,1.0,,,0.0,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,0.0,SRB,AUS,W,Player
445,PIJETLOVIC,Dusko,12.0,11.0,1.0,2.0,,,0.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,,1.0,,,2.0,,,,,,,2.0,SRB,AUS,W,Player
446,RASOVIC,Strahin a,26.0,6.0,3.0,4.0,2.0,2.0,,,,,1.0,2.0,,,,,,,,,1.0,,,1.0,1.0,2.0,,,,,,,,0.0,SRB,AUS,W,Player
447,ALEKSIC,Milan,12.0,19.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,1.0,SRB,AUS,W,Player
448,JAKSIC,Nikola,13.0,13.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,2.0,SRB,AUS,W,Player
449,FILIPOVIC,Filip,22.0,50.0,1.0,2.0,0.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,1.0,0.0,1.0,,,,,,,,0.0,SRB,AUS,W,Player
450,PRLAINOVIC,Andri a,18.0,51.0,2.0,4.0,0.0,1.0,,,,,1.0,1.0,,,,,,,1.0,2.0,,,,2.0,,,,,,,,,1.0,1.0,SRB,AUS,W,Player
451,MITROVIC,Stefan,18.0,15.0,1.0,2.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,1.0,SRB,AUS,W,Player
452,MITROVIC,Branislav,32.0,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,0.0,SRB,AUS,W,Player
453,,,,,14.0,25.0,4.0,10.0,1.0,3.0,,,6.0,7.0,0.0,1.0,,,2.0,2.0,1.0,2.0,4.0,7.0,1.0,8.0,1.0,4.0,6.0,1.0,,,2.0,,2.0,11.0,SRB,AUS,W,Team
454,HRYSANTHOS,Anthony,32.0,0.0,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,0.0,AUS,SRB,L,Player
455,CAMPBELL,Richard,21.0,22.0,1.0,4.0,1.0,3.0,,,,,0.0,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,AUS,SRB,L,Player
456,FORD,George,4.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,3.0,AUS,SRB,L,Player
457,TOMASEVIC,Goran,13.0,11.0,1.0,2.0,,,0.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,AUS,SRB,L,Player
458,POWER,Nathan,14.0,23.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,1.0,1.0,1.0,,,,2.0,,,,,,,2.0,AUS,SRB,L,Player
459,EDWARDS,Lachlan Robert,18.0,26.0,1.0,2.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,0.0,AUS,SRB,L,Player
460,ROACH,Aidan,20.0,59.0,1.0,3.0,0.0,2.0,,,,,,,,,,,1.0,1.0,,,,,2.0,,,,2.0,,,,,,,2.0,AUS,SRB,L,Player
461,YOUNGER,Aaron,24.0,44.0,1.0,4.0,0.0,3.0,,,,,1.0,1.0,,,,,,,,,,,2.0,1.0,,,,,,,,,,0.0,AUS,SRB,L,Player
462,FORD,Andrew,19.0,27.0,1.0,6.0,0.0,4.0,,,,,1.0,1.0,0.0,1.0,,,,,,,,,1.0,,0.0,1.0,,,,,,,,0.0,AUS,SRB,L,Player
463,PUTT,Timothy Francis,12.0,14.0,0.0,2.0,0.0,1.0,,,,,0.0,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,2.0,AUS,SRB,L,Player
464,HOWDEN,Rhys,21.0,43.0,0.0,3.0,0.0,2.0,,,,,,,,,,,0.0,1.0,,,,,2.0,,3.0,3.0,,,,,,,,0.0,AUS,SRB,L,Player
465,EDWARDS,Blake,21.0,1.0,2.0,5.0,1.0,2.0,,,,,1.0,3.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,0.0,AUS,SRB,L,Player
466,,,,,8.0,32.0,3.0,18.0,0.0,2.0,,,4.0,9.0,0.0,1.0,,,1.0,2.0,,,7.0,9.0,10.0,3.0,3.0,4.0,8.0,,,,,,2.0,10.0,AUS,SRB,L,Team
467,KANDIC,Slaven,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,MNE,KAZ,W,Player
468,BRGULJAN,Drasko,21.0,15.0,4.0,5.0,3.0,3.0,,,,,1.0,1.0,,,,,0.0,1.0,,,,3.0,2.0,2.0,2.0,3.0,,,,,,,,0.0,MNE,KAZ,W,Player
469,PERKOVIC,Miroslav,14.0,34.0,4.0,7.0,1.0,1.0,3.0,6.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.0,MNE,KAZ,W,Player
470,PETKOVIC,Marko,24.0,34.0,2.0,4.0,0.0,1.0,,,,,1.0,1.0,,,,,,,1.0,2.0,,,,,,,,,,,,,,0.0,MNE,KAZ,W,Player
471,CUCKOVIC,Uros,12.0,49.0,1.0,3.0,,,,,,,1.0,2.0,0.0,1.0,,,,,,,2.0,3.0,,,,,1.0,,,,,,,1.0,MNE,KAZ,W,Player
472,POPADIC,Vlado,17.0,25.0,1.0,2.0,1.0,1.0,,,,,0.0,1.0,,,,,,,,,,1.0,,,,,2.0,1.0,,,,,,3.0,MNE,KAZ,W,Player
473,VIDOVIC,Stefan,20.0,34.0,1.0,2.0,,,,,,,1.0,2.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,2.0,MNE,KAZ,W,Player
474,UKROPINA,Aleksa,21.0,46.0,0.0,3.0,0.0,2.0,,,,,,,,,,,,,0.0,1.0,,2.0,,1.0,1.0,1.0,,2.0,,,,,,2.0,MNE,KAZ,W,Player
475,IVOVIC,Aleksandar,19.0,44.0,4.0,4.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,2.0,1.0,,,,1.0,,,,,,,1.0,MNE,KAZ,W,Player
476,MATKOVIC,Dusan,21.0,51.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,2.0,,,,,,,2.0,MNE,KAZ,W,Player
477,BANICEVIC,Dusan,17.0,28.0,1.0,2.0,,,1.0,1.0,,,0.0,1.0,,,,,,,,,2.0,,,,,,,,,,,,,0.0,MNE,KAZ,W,Player
478,TESANOVIC,Petar,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,MNE,KAZ,W,Player
479,,,,,19.0,33.0,6.0,9.0,4.0,7.0,1.0,1.0,5.0,9.0,0.0,1.0,,,2.0,3.0,1.0,3.0,5.0,12.0,3.0,4.0,3.0,4.0,7.0,4.0,,,,,,11.0,MNE,KAZ,W,Team
480,MEDVEDEV,Yevgeniy,19.0,30.0,2.0,6.0,2.0,2.0,,,,,0.0,3.0,0.0,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,KAZ,MNE,L,Player
481,AUBAKIROV,Miras,17.0,37.0,0.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,0.0,1.0,,1.0,,,,,1.0,2.0,KAZ,MNE,L,Player
482,MARKOVIC,Dusan,14.0,24.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,1.0,3.0,KAZ,MNE,L,Player
483,SHMIDER,Alexey,19.0,26.0,2.0,3.0,1.0,2.0,,,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,0.0,KAZ,MNE,L,Player
484,ARTYUKH,Danil,9.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,KAZ,MNE,L,Player
485,SHAKENOV,Murat,21.0,31.0,2.0,4.0,1.0,2.0,,,,,1.0,2.0,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,1.0,KAZ,MNE,L,Player
486,VUKSANOVIC,Srdan,28.0,36.0,2.0,4.0,1.0,2.0,,,,,1.0,2.0,,,,,,,,,,2.0,1.0,,0.0,1.0,,,,,,,,0.0,KAZ,MNE,L,Player
487,UKUMANOV,Rustam,17.0,3.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,1.0,,1.0,,,,2.0,1.0,,,,,,3.0,KAZ,MNE,L,Player
488,RUDAY,Mikhail,16.0,6.0,3.0,3.0,,,,,,,2.0,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,0.0,KAZ,MNE,L,Player
489,ALTAYEV,Altay,15.0,54.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,KAZ,MNE,L,Player
490,SHVEDOV,Stanislav,12.0,25.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,2.0,,,0.0,1.0,,,,,,,1.0,1.0,KAZ,MNE,L,Player
491,LIPILIN,Pavel,32.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,KAZ,MNE,L,Player
492,,,,,12.0,25.0,5.0,11.0,1.0,1.0,,,5.0,11.0,0.0,1.0,,,,,1.0,1.0,5.0,7.0,5.0,,1.0,4.0,6.0,2.0,,1.0,,,3.0,12.0,KAZ,MNE,L,Team
493,HRYSANTHOS,Anthony,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,AUS,ESP,L,Player
494,CAMPBELL,Richard,26.0,1.0,0.0,5.0,0.0,3.0,,,,,0.0,1.0,,,,,,,0.0,1.0,1.0,1.0,,,,,,,,,,,,0.0,AUS,ESP,L,Player
495,FORD,George,7.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,AUS,ESP,L,Player
496,TOMASEVIC,Goran,10.0,53.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,0.0,AUS,ESP,L,Player
497,POWER,Nathan,18.0,29.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,2.0,,,,,,,2.0,AUS,ESP,L,Player
498,EDWARDS,Lachlan Robert,13.0,7.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,2.0,AUS,ESP,L,Player
499,ROACH,Aidan,27.0,46.0,1.0,5.0,0.0,3.0,,,,,1.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,,0.0,AUS,ESP,L,Player
500,YOUNGER,Aaron,24.0,42.0,2.0,6.0,0.0,2.0,,,,,2.0,4.0,,,,,,,,,,,2.0,,,,,,,1.0,,,1.0,2.0,AUS,ESP,L,Player
501,FORD,Andrew,13.0,57.0,0.0,3.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,AUS,ESP,L,Player
502,PUTT,Timothy Francis,8.0,58.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,2.0,AUS,ESP,L,Player
503,HOWDEN,Rhys,17.0,51.0,,,,,,,,,,,,,,,,,,,,,2.0,,0.0,4.0,2.0,1.0,,,,,,3.0,AUS,ESP,L,Player
504,EDWARDS,Blake,22.0,25.0,2.0,6.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,0.0,AUS,ESP,L,Player
505,,,,,5.0,28.0,1.0,17.0,0.0,1.0,0.0,1.0,4.0,8.0,,,,,,,0.0,1.0,4.0,2.0,8.0,,0.0,4.0,9.0,1.0,,1.0,,,3.0,14.0,AUS,ESP,L,Team
506,LOPEZ PINEDO,Daniel,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,ESP,AUS,W,Player
507,MUNARRIZ EGANA,Alberto,22.0,49.0,2.0,3.0,2.0,3.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,0.0,ESP,AUS,W,Player
508,GRANADOS ORTEGA,Alvaro,22.0,9.0,4.0,7.0,1.0,3.0,,,,,1.0,2.0,,,,,2.0,2.0,,,,1.0,1.0,,,,,,,,,,,0.0,ESP,AUS,W,Player
509,SANAHUJA,Bernat,20.0,21.0,0.0,5.0,0.0,5.0,,,,,,,,,,,,,,,,2.0,,,1.0,1.0,1.0,,,,,,,1.0,ESP,AUS,W,Player
510,de TORO DOMINGUEZ,Miguel,13.0,58.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,1.0,ESP,AUS,W,Player
511,LARUMBE GONFAUS,Marc,19.0,48.0,0.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,2.0,ESP,AUS,W,Player
512,FAMERA,Martin,15.0,8.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,3.0,3.0,1.0,,,,,,,1.0,ESP,AUS,W,Player
513,FERNANDEZ MIRANDA,Francisco,22.0,20.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,0.0,ESP,AUS,W,Player
514,TAHULL COMPTE,Roger,12.0,25.0,2.0,3.0,,,1.0,1.0,,,1.0,2.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,ESP,AUS,W,Player
515,PERRONE ROCHA,Felipe,16.0,40.0,3.0,4.0,0.0,1.0,,,,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,0.0,ESP,AUS,W,Player
516,MALLARACH GUELL,Blai,14.0,11.0,2.0,2.0,,,,,,,2.0,2.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,0.0,ESP,AUS,W,Player
517,BUSTOS SANCHEZ,Ale andro,12.0,11.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,1.0,,,,,,2.0,,,,,,,2.0,ESP,AUS,W,Player
518,,,,,16.0,30.0,5.0,16.0,1.0,1.0,,,6.0,9.0,,,,,3.0,3.0,1.0,1.0,5.0,6.0,6.0,2.0,4.0,4.0,7.0,1.0,,,,,,8.0,ESP,AUS,W,Team
519,BIJAC,Marko,32.0,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,0.0,CRO,SRB,W,Player
520,MACAN,Marko,6.0,54.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,,,,,,,3.0,CRO,SRB,W,Player
521,FATOVIC,Loren,23.0,24.0,0.0,2.0,,,,,,,0.0,2.0,,,,,,,,,,1.0,2.0,,,,,1.0,,,1.0,,,2.0,CRO,SRB,W,Player
522,LONCAR,Luka,13.0,28.0,1.0,2.0,,,0.0,1.0,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,0.0,CRO,SRB,W,Player
523,JOKOVIC,Maro,23.0,51.0,4.0,9.0,1.0,5.0,,,,,2.0,3.0,,,,,,,1.0,1.0,,,,,,,2.0,,,,1.0,,,3.0,CRO,SRB,W,Player
524,BUKIC,Luka,26.0,18.0,3.0,4.0,1.0,1.0,,,,,2.0,3.0,,,,,,,,,,1.0,,2.0,2.0,3.0,2.0,,,,,,,2.0,CRO,SRB,W,Player
525,VUKICEVIC,Ante,16.0,13.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,3.0,CRO,SRB,W,Player
526,BUSLJE,Andro,15.0,32.0,1.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,2.0,CRO,SRB,W,Player
527,MILOS,Lovre,18.0,57.0,0.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,,,,,,,,0.0,CRO,SRB,W,Player
528,VRLIC,Josip,16.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,CRO,SRB,W,Player
529,OBRADOVIC,Paulo,11.0,19.0,4.0,4.0,3.0,3.0,,,,,1.0,1.0,,,,,,,,,,,,,,,2.0,,,,,,,2.0,CRO,SRB,W,Player
530,GARCIA GADEA,Javier,19.0,35.0,0.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,CRO,SRB,W,Player
531,,,,,14.0,29.0,6.0,16.0,0.0,1.0,,,6.0,10.0,,,,,,,2.0,2.0,2.0,4.0,3.0,3.0,2.0,4.0,11.0,3.0,1.0,,3.0,,1.0,19.0,CRO,SRB,W,Team
532,PIJETLOVIC,Go ko,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,SRB,CRO,L,Player
533,MANDIC,Dusan,26.0,10.0,1.0,6.0,1.0,3.0,0.0,1.0,,,0.0,2.0,,,,,,,,,,2.0,1.0,,,,,1.0,,,,,,1.0,SRB,CRO,L,Player
534,DEDOVIC,Nikola,16.0,44.0,0.0,2.0,0.0,2.0,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,,,1.0,,,,2.0,SRB,CRO,L,Player
535,RANDELOVIC,Sava,6.0,56.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,2.0,,,,,,,2.0,SRB,CRO,L,Player
536,LAZIC,Dorde,11.0,47.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,0.0,SRB,CRO,L,Player
537,PIJETLOVIC,Dusko,14.0,10.0,1.0,3.0,,,0.0,1.0,,,1.0,2.0,,,,,,,,,2.0,,,1.0,,,,,,,,,,0.0,SRB,CRO,L,Player
538,RASOVIC,Strahin a,26.0,59.0,2.0,5.0,0.0,2.0,,,,,2.0,3.0,,,,,,,,,,,1.0,,1.0,3.0,1.0,,,,,,,1.0,SRB,CRO,L,Player
539,ALEKSIC,Milan,9.0,54.0,0.0,2.0,0.0,1.0,,,,,0.0,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,2.0,SRB,CRO,L,Player
540,JAKSIC,Nikola,18.0,10.0,3.0,5.0,0.0,1.0,,,,,3.0,4.0,,,,,,,,,1.0,,1.0,1.0,,,2.0,,,,,,,2.0,SRB,CRO,L,Player
541,FILIPOVIC,Filip,24.0,9.0,2.0,4.0,1.0,1.0,,,1.0,1.0,0.0,2.0,,,,,,,,,,1.0,3.0,,,,,,,,,,,0.0,SRB,CRO,L,Player
542,PRLAINOVIC,Andri a,26.0,31.0,1.0,3.0,0.0,1.0,,,,,0.0,1.0,,,,,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,1.0,SRB,CRO,L,Player
543,MITROVIC,Stefan,10.0,30.0,1.0,2.0,,,,,,,1.0,2.0,,,,,,,,,,,,,,,1.0,2.0,,,,,,3.0,SRB,CRO,L,Player
544,,,,,12.0,34.0,2.0,11.0,0.0,2.0,1.0,1.0,8.0,19.0,,,,,1.0,1.0,,,4.0,4.0,7.0,3.0,2.0,4.0,9.0,3.0,,2.0,,,,14.0,SRB,CRO,L,Team
545,Del LUNGO,Marco,32.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,ITA,JPN,W,Player
546,Di FULVIO,Francesco,16.0,59.0,1.0,4.0,1.0,2.0,,,0.0,1.0,,,0.0,1.0,,,,,,,2.0,1.0,,,2.0,2.0,,1.0,,,,,,1.0,ITA,JPN,W,Player
547,LUONGO,Stefano,15.0,51.0,1.0,3.0,0.0,1.0,0.0,1.0,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,1.0,2.0,ITA,JPN,W,Player
548,FIGLIOLI,Pietro,13.0,0.0,3.0,3.0,1.0,1.0,,,,,1.0,1.0,,,,,1.0,1.0,,,,1.0,,,1.0,1.0,,,,,,,,0.0,ITA,JPN,W,Player
549,PRESCIUTTI,Nicholas,17.0,28.0,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,1.0,,,,,,2.0,3.0,ITA,JPN,W,Player
550,VELOTTO,Alessandro,24.0,55.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,4.0,,1.0,,,,1.0,,,,,,1.0,ITA,JPN,W,Player
551,RENZUTO IODICE,Vincenzo,24.0,8.0,1.0,2.0,,,,,,,0.0,1.0,,,,,1.0,1.0,,,1.0,1.0,2.0,,,,2.0,,,,,,,2.0,ITA,JPN,W,Player
552,ECHENIQUE,Gonzalo,15.0,44.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,2.0,,,,,1.0,,,,,1.0,ITA,JPN,W,Player
553,FIGARI,Niccolo,11.0,40.0,2.0,4.0,0.0,1.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,1.0,,,,,1.0,,,,1.0,,,2.0,ITA,JPN,W,Player
554,BODEGAS,Michael Alexandre,16.0,9.0,3.0,4.0,1.0,1.0,0.0,1.0,,,2.0,2.0,,,,,,,,,2.0,,1.0,,,,,1.0,,,,,,1.0,ITA,JPN,W,Player
