,Last,First,Minutes,Seconds,Goals,Shots,Action Goals,Action Shots,Center Goals,Center Shots,Drive Goals,Drive Shots,Extra Goals,Extra Shots,Foul Goals,Foul Shots,6MF Goals,6MF Shots,PS Goals,PS Shots,CA Goals,CA Shots,TF,ST,RB,BL,SP Won,SP Attempts,CP EX,FP EX,DS EX,M6 EX,CS EX,DE,P EX,Total EX,Team,Opponent,Outcome,stat_type
300,VAVIC,Marko,18.0,30.0,1.0,2.0,1.0,1.0,,,0.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,USA,RSA,W,Player
301,OBERT,Alex,15.0,8.0,0.0,1.0,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,USA,RSA,W,Player
302,DAUBE,Hannes,22.0,8.0,2.0,3.0,,,,,,,1.0,1.0,1.0,1.0,,,0.0,1.0,,,,,2.0,,,,1.0,,,,,,,1.0,USA,RSA,W,Player
303,CUPIDO,Luca,21.0,25.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,0.0,USA,RSA,W,Player
304,HALLOCK,Ben,17.0,7.0,4.0,9.0,,,2.0,7.0,,,2.0,2.0,,,,,,,,,1.0,1.0,3.0,1.0,,,,,,,,,,0.0,USA,RSA,W,Player
305,WOODHEAD,Dylan,11.0,23.0,2.0,2.0,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,2.0,,,,,,,2.0,USA,RSA,W,Player
306,BOWEN,Alex,16.0,54.0,2.0,2.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,0.0,USA,RSA,W,Player
307,STEVENSON,Ben,17.0,49.0,3.0,3.0,1.0,1.0,,,,,1.0,1.0,,,,,,,1.0,1.0,,1.0,1.0,1.0,0.0,1.0,,,,,,,,0.0,USA,RSA,W,Player
308,SMITH,Jesse,10.0,48.0,0.0,2.0,0.0,1.0,,,,,,,,,,,,,0.0,1.0,,,,,,,1.0,,,,,,,1.0,USA,RSA,W,Player
309,IRVING,Max,21.0,54.0,2.0,2.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,0.0,USA,RSA,W,Player
310,,,,,20.0,36.0,4.0,6.0,3.0,9.0,0.0,1.0,8.0,10.0,1.0,1.0,,,2.0,3.0,2.0,6.0,2.0,8.0,6.0,5.0,3.0,4.0,4.0,,,,,,,4.0,USA,RSA,W,Team
311,ZERDEVAS,Emmanouil,32.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,GRE,JPN,W,Player
312,GENIDOUNIAS,Konstantinos,29.0,45.0,3.0,11.0,2.0,7.0,,,,,1.0,2.0,,,0.0,1.0,,,0.0,1.0,,1.0,1.0,2.0,1.0,2.0,,,,,,,,0.0,GRE,JPN,W,Player
313,SKOUMPAKIS,Dimitrios,9.0,49.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,1.0,GRE,JPN,W,Player
314,KAPOTSIS,Marios,28.0,0.0,3.0,3.0,,,,,,,3.0,3.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,,,1.0,GRE,JPN,W,Player
315,FOUNTOULIS,Ioannis,11.0,28.0,0.0,1.0,,,,,,,,,,,,,,,0.0,1.0,,,1.0,,,,1.0,,,1.0,,,1.0,3.0,GRE,JPN,W,Player
316,PAPANASTASIOU,Alexandros,13.0,34.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,,,,,,,2.0,GRE,JPN,W,Player
317,DERVISIS,Georgios,21.0,16.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,2.0,0.0,1.0,1.0,,,1.0,,,,2.0,GRE,JPN,W,Player
318,ARGYROPOULOS KANAKAKIS,Stylianos,26.0,26.0,1.0,5.0,0.0,2.0,,,,,1.0,3.0,,,,,,,,,1.0,,,1.0,,,2.0,,,,,,,2.0,GRE,JPN,W,Player
319,MOURIKIS,Konstantinos,8.0,47.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,0.0,GRE,JPN,W,Player
320,KOLOMVOS,Christodoulos,9.0,28.0,1.0,2.0,0.0,1.0,,,,,1.0,1.0,,,,,,,,,1.0,2.0,,,,,1.0,,,,,1.0,,2.0,GRE,JPN,W,Player
321,GKIOUVETSIS,Konstantinos,12.0,13.0,0.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,GRE,JPN,W,Player
322,VLACHOPOULOS,Angelos,21.0,14.0,0.0,3.0,0.0,3.0,,,,,,,,,,,,,,,1.0,,4.0,1.0,,,2.0,1.0,,,,,,3.0,GRE,JPN,W,Player
323,,,,,10.0,30.0,2.0,16.0,2.0,2.0,,,6.0,9.0,,,0.0,1.0,,,0.0,2.0,8.0,7.0,9.0,8.0,2.0,4.0,10.0,1.0,,2.0,1.0,1.0,1.0,16.0,GRE,JPN,W,Team
324,TANAMURA,Katsuyuki,32.0,0.0,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,1.0,,,,,,1.0,JPN,GRE,L,Player
325,ADACHI,Seiya,20.0,57.0,3.0,6.0,1.0,2.0,,,,,0.0,2.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,1.0,2.0,,,,,,,,0.0,JPN,GRE,L,Player
326,KOPPU,Harukiirario,21.0,53.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,,,,,,,3.0,JPN,GRE,L,Player
327,SHIGA,Mitsuaki,21.0,7.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,JPN,GRE,L,Player
328,YOSHIDA,Takuma,22.0,16.0,1.0,5.0,0.0,2.0,,,,,0.0,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,0.0,JPN,GRE,L,Player
329,SUZUKI,Toi,8.0,50.0,0.0,2.0,,,,,,,0.0,2.0,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,JPN,GRE,L,Player
330,SHIMIZU,Yusuke,6.0,45.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,0.0,JPN,GRE,L,Player
331,TAKATA,Mitsuru,13.0,33.0,,,,,,,,,,,,,,,,,,,1.0,,2.0,1.0,,,2.0,,,,,,,2.0,JPN,GRE,L,Player
332,ARAI,Atsushi,27.0,18.0,2.0,4.0,0.0,1.0,,,,,2.0,3.0,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,1.0,,2.0,JPN,GRE,L,Player
333,INABA,Yusuke,23.0,42.0,2.0,7.0,1.0,3.0,,,,,0.0,2.0,,,0.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,0.0,JPN,GRE,L,Player
334,OKAWA,Keigo,20.0,17.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,JPN,GRE,L,Player
335,ARAKI,Kenta,5.0,22.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,JPN,GRE,L,Player
336,,,,,9.0,28.0,2.0,9.0,,,,,3.0,14.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,6.0,3.0,2.0,4.0,7.0,2.0,,1.0,,1.0,,11.0,JPN,GRE,L,Team
337,HOOPER,Johnny,21.0,30.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,2.0,,,1.0,2.0,3.0,,,,,1.0,,,1.0,USA,ITA,L,Player
338,VAVIC,Marko,20.0,22.0,1.0,6.0,1.0,5.0,,,,,0.0,1.0,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,2.0,USA,ITA,L,Player
339,OBERT,Alex,15.0,11.0,2.0,2.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,1.0,2.0,USA,ITA,L,Player
340,DAUBE,Hannes,22.0,52.0,1.0,7.0,0.0,2.0,,,,,0.0,4.0,1.0,1.0,,,,,,,1.0,,1.0,1.0,,,,,,,,,1.0,1.0,USA,ITA,L,Player
341,CUPIDO,Luca,23.0,7.0,2.0,5.0,,,0.0,1.0,,,2.0,3.0,,,,,,,0.0,1.0,1.0,,,1.0,,,,,1.0,,,,,1.0,USA,ITA,L,Player
342,HALLOCK,Ben,17.0,6.0,0.0,1.0,,,0.0,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,0.0,USA,ITA,L,Player
343,WOODHEAD,Dylan,12.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,USA,ITA,L,Player
344,BOWEN,Alex,20.0,34.0,2.0,6.0,0.0,2.0,,,,,1.0,1.0,0.0,1.0,,,1.0,2.0,,,,,2.0,,,,,1.0,,,,,,1.0,USA,ITA,L,Player
345,STEVENSON,Ben,11.0,57.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,USA,ITA,L,Player
346,SMITH,Jesse,4.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,3.0,USA,ITA,L,Player
347,IRVING,Max,22.0,56.0,2.0,2.0,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,1.0,,,1.0,,,,1.0,,,2.0,USA,ITA,L,Player
348,HOLLAND,Drew,32.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,USA,ITA,L,Player
349,,,,,11.0,31.0,1.0,10.0,1.0,3.0,,,6.0,12.0,1.0,2.0,,,2.0,3.0,0.0,1.0,9.0,2.0,4.0,6.0,2.0,4.0,7.0,2.0,1.0,,2.0,,2.0,14.0,USA,ITA,L,Team
350,Del LUNGO,Marco,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,ITA,USA,W,Player
351,Di FULVIO,Francesco,30.0,30.0,5.0,13.0,2.0,4.0,,,,,2.0,4.0,0.0,3.0,,,1.0,1.0,0.0,1.0,1.0,,1.0,1.0,1.0,2.0,,1.0,,,,,,1.0,ITA,USA,W,Player
352,LUONGO,Stefano,22.0,39.0,3.0,6.0,0.0,1.0,,,,,3.0,5.0,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,0.0,ITA,USA,W,Player
353,FIGLIOLI,Pietro,26.0,6.0,2.0,7.0,1.0,5.0,,,,,1.0,1.0,,,,,0.0,1.0,,,,,,,0.0,1.0,,2.0,,,,,,2.0,ITA,USA,W,Player
354,PRESCIUTTI,Nicholas,24.0,3.0,2.0,4.0,0.0,2.0,,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,2.0,,,,,,,2.0,ITA,USA,W,Player
355,VELOTTO,Alessandro,7.0,38.0,0.0,1.0,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,0.0,ITA,USA,W,Player
356,RENZUTO IODICE,Vincenzo,13.0,9.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,ITA,USA,W,Player
357,ECHENIQUE,Gonzalo,27.0,16.0,0.0,3.0,0.0,1.0,,,,,0.0,1.0,,,,,,,0.0,1.0,,1.0,1.0,1.0,,,,,,,,,,0.0,ITA,USA,W,Player
358,FIGARI,Niccolo,9.0,7.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,2.0,,,,,,,2.0,ITA,USA,W,Player
359,BODEGAS,Michael Alexandre,10.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,3.0,ITA,USA,W,Player
360,AICARDI,Matteo,12.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,2.0,ITA,USA,W,Player
361,DOLCE,Vincenzo,8.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,ITA,USA,W,Player
