,Last,First,Play Time,Minutes,Seconds,Goals,Shots,Action Goals,Action Shots,Center Goals,Center Shots,Drive Goals,Drive Shots,Extra Goals,Extra Shots,Foul Goals,Foul Shots,6MF Goals,6MF Shots,PS Goals,PS Shots,CA Goals,CA Shots,TF,ST,RB,BL,SP Won,SP Attempts,CP EX,FP EX,DS EX,M6 EX,CS EX,DE,P EX,Total EX,Team,Opponent,Outcome,stat_type,Match Number,Ref 1,Ref 2
516,MALLARACH GUELL,Blai,14:11,14.0,11.0,2.0,2.0,,,,,,,2.0,2.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,0.0,ESP,AUS,W,Player,20,DERVIEUX,ALEXANDRESCU
517,BUSTOS SANCHEZ,Ale andro,12:11,12.0,11.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,1.0,,,,,,2.0,,,,,,,2.0,ESP,AUS,W,Player,20,DERVIEUX,ALEXANDRESCU
518,,,,,,16.0,30.0,5.0,16.0,1.0,1.0,,,6.0,9.0,,,,,3.0,3.0,1.0,1.0,5.0,6.0,6.0,2.0,4.0,4.0,7.0,1.0,,,,,,8.0,ESP,AUS,W,Team,20,DERVIEUX,ALEXANDRESCU
519,BIJAC,Marko,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,0.0,CRO,SRB,W,Player,21,DERVIEUX,ALEXANDRESCU
520,MACAN,Marko,6:54,6.0,54.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,,,,,,,3.0,CRO,SRB,W,Player,21,GOLDENBERG,ZWART
521,FATOVIC,Loren,23:24,23.0,24.0,0.0,2.0,,,,,,,0.0,2.0,,,,,,,,,,1.0,2.0,,,,,1.0,,,1.0,,,2.0,CRO,SRB,W,Player,21,GOLDENBERG,ZWART
522,LONCAR,Luka,13:28,13.0,28.0,1.0,2.0,,,0.0,1.0,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,0.0,CRO,SRB,W,Player,21,GOLDENBERG,ZWART
523,JOKOVIC,Maro,23:51,23.0,51.0,4.0,9.0,1.0,5.0,,,,,2.0,3.0,,,,,,,1.0,1.0,,,,,,,2.0,,,,1.0,,,3.0,CRO,SRB,W,Player,21,GOLDENBERG,ZWART
524,BUKIC,Luka,26:18,26.0,18.0,3.0,4.0,1.0,1.0,,,,,2.0,3.0,,,,,,,,,,1.0,,2.0,2.0,3.0,2.0,,,,,,,2.0,CRO,SRB,W,Player,21,GOLDENBERG,ZWART
525,VUKICEVIC,Ante,16:13,16.0,13.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,3.0,CRO,SRB,W,Player,21,GOLDENBERG,ZWART
526,BUSLJE,Andro,15:32,15.0,32.0,1.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,2.0,CRO,SRB,W,Player,21,GOLDENBERG,ZWART
527,MILOS,Lovre,18:57,18.0,57.0,0.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,1.0,,0.0,1.0,,,,,,,,0.0,CRO,SRB,W,Player,21,GOLDENBERG,ZWART
528,VRLIC,Josip,16:29,16.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,CRO,SRB,W,Player,21,GOLDENBERG,ZWART
529,OBRADOVIC,Paulo,11:19,11.0,19.0,4.0,4.0,3.0,3.0,,,,,1.0,1.0,,,,,,,,,,,,,,,2.0,,,,,,,2.0,CRO,SRB,W,Player,21,GOLDENBERG,ZWART
530,GARCIA GADEA,Javier,19:35,19.0,35.0,0.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,CRO,SRB,W,Player,21,GOLDENBERG,ZWART
531,,,,,,14.0,29.0,6.0,16.0,0.0,1.0,,,6.0,10.0,,,,,,,2.0,2.0,2.0,4.0,3.0,3.0,2.0,4.0,11.0,3.0,1.0,,3.0,,1.0,19.0,CRO,SRB,W,Team,21,GOLDENBERG,ZWART
532,PIJETLOVIC,Go ko,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,SRB,CRO,L,Player,21,GOLDENBERG,ZWART
533,MANDIC,Dusan,26:10,26.0,10.0,1.0,6.0,1.0,3.0,0.0,1.0,,,0.0,2.0,,,,,,,,,,2.0,1.0,,,,,1.0,,,,,,1.0,SRB,CRO,L,Player,21,ZWART,GOLDENBERG
534,DEDOVIC,Nikola,16:44,16.0,44.0,0.0,2.0,0.0,2.0,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,,,1.0,,,,2.0,SRB,CRO,L,Player,21,ZWART,GOLDENBERG
535,RANDELOVIC,Sava,6:56,6.0,56.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,2.0,,,,,,,2.0,SRB,CRO,L,Player,21,ZWART,GOLDENBERG
536,LAZIC,Dorde,11:47,11.0,47.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,0.0,SRB,CRO,L,Player,21,ZWART,GOLDENBERG
537,PIJETLOVIC,Dusko,14:10,14.0,10.0,1.0,3.0,,,0.0,1.0,,,1.0,2.0,,,,,,,,,2.0,,,1.0,,,,,,,,,,0.0,SRB,CRO,L,Player,21,ZWART,GOLDENBERG
538,RASOVIC,Strahin a,26:59,26.0,59.0,2.0,5.0,0.0,2.0,,,,,2.0,3.0,,,,,,,,,,,1.0,,1.0,3.0,1.0,,,,,,,1.0,SRB,CRO,L,Player,21,ZWART,GOLDENBERG
539,ALEKSIC,Milan,9:54,9.0,54.0,0.0,2.0,0.0,1.0,,,,,0.0,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,2.0,SRB,CRO,L,Player,21,ZWART,GOLDENBERG
540,JAKSIC,Nikola,18:10,18.0,10.0,3.0,5.0,0.0,1.0,,,,,3.0,4.0,,,,,,,,,1.0,,1.0,1.0,,,2.0,,,,,,,2.0,SRB,CRO,L,Player,21,ZWART,GOLDENBERG
541,FILIPOVIC,Filip,24:09,24.0,9.0,2.0,4.0,1.0,1.0,,,1.0,1.0,0.0,2.0,,,,,,,,,,1.0,3.0,,,,,,,,,,,0.0,SRB,CRO,L,Player,21,ZWART,GOLDENBERG
542,PRLAINOVIC,Andri a,26:31,26.0,31.0,1.0,3.0,0.0,1.0,,,,,0.0,1.0,,,,,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,1.0,SRB,CRO,L,Player,21,ZWART,GOLDENBERG
543,MITROVIC,Stefan,10:30,10.0,30.0,1.0,2.0,,,,,,,1.0,2.0,,,,,,,,,,,,,,,1.0,2.0,,,,,,3.0,SRB,CRO,L,Player,21,ZWART,GOLDENBERG
544,,,,,,12.0,34.0,2.0,11.0,0.0,2.0,1.0,1.0,8.0,19.0,,,,,1.0,1.0,,,4.0,4.0,7.0,3.0,2.0,4.0,9.0,3.0,,2.0,,,,14.0,SRB,CRO,L,Team,21,ZWART,GOLDENBERG
545,Del LUNGO,Marco,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,ITA,JPN,W,Player,22,ZWART,GOLDENBERG
546,Di FULVIO,Francesco,16:59,16.0,59.0,1.0,4.0,1.0,2.0,,,0.0,1.0,,,0.0,1.0,,,,,,,2.0,1.0,,,2.0,2.0,,1.0,,,,,,1.0,ITA,JPN,W,Player,22,IVANOSKI,PERIŠ
547,LUONGO,Stefano,15:51,15.0,51.0,1.0,3.0,0.0,1.0,0.0,1.0,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,1.0,2.0,ITA,JPN,W,Player,22,IVANOSKI,PERIŠ
548,FIGLIOLI,Pietro,13:00,13.0,0.0,3.0,3.0,1.0,1.0,,,,,1.0,1.0,,,,,1.0,1.0,,,,1.0,,,1.0,1.0,,,,,,,,0.0,ITA,JPN,W,Player,22,IVANOSKI,PERIŠ
549,PRESCIUTTI,Nicholas,17:28,17.0,28.0,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,1.0,,,,,,2.0,3.0,ITA,JPN,W,Player,22,IVANOSKI,PERIŠ
550,VELOTTO,Alessandro,24:55,24.0,55.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,4.0,,1.0,,,,1.0,,,,,,1.0,ITA,JPN,W,Player,22,IVANOSKI,PERIŠ
551,RENZUTO IODICE,Vincenzo,24:08,24.0,8.0,1.0,2.0,,,,,,,0.0,1.0,,,,,1.0,1.0,,,1.0,1.0,2.0,,,,2.0,,,,,,,2.0,ITA,JPN,W,Player,22,IVANOSKI,PERIŠ
552,ECHENIQUE,Gonzalo,15:44,15.0,44.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,2.0,,,,,1.0,,,,,1.0,ITA,JPN,W,Player,22,IVANOSKI,PERIŠ
553,FIGARI,Niccolo,11:40,11.0,40.0,2.0,4.0,0.0,1.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,1.0,,,,,1.0,,,,1.0,,,2.0,ITA,JPN,W,Player,22,IVANOSKI,PERIŠ
554,BODEGAS,Michael Alexandre,16:09,16.0,9.0,3.0,4.0,1.0,1.0,0.0,1.0,,,2.0,2.0,,,,,,,,,2.0,,1.0,,,,,1.0,,,,,,1.0,ITA,JPN,W,Player,22,IVANOSKI,PERIŠ
555,AICARDI,Matteo,13:24,13.0,24.0,2.0,2.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,1.0,1.0,,,,,,1.0,,,,1.0,ITA,JPN,W,Player,22,IVANOSKI,PERIŠ
556,DOLCE,Vincenzo,22:42,22.0,42.0,1.0,2.0,0.0,1.0,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,1.0,ITA,JPN,W,Player,22,IVANOSKI,PERIŠ
557,,,,,,16.0,26.0,3.0,7.0,1.0,3.0,1.0,2.0,7.0,9.0,0.0,1.0,,,3.0,3.0,1.0,1.0,6.0,12.0,7.0,4.0,4.0,4.0,5.0,3.0,1.0,1.0,2.0,,3.0,15.0,ITA,JPN,W,Team,22,IVANOSKI,PERIŠ
558,TANAMURA,Katsuyuki,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,0.0,JPN,ITA,L,Player,22,IVANOSKI,PERIŠ
559,ADACHI,Seiya,23:03,23.0,3.0,1.0,4.0,,,,,,,1.0,2.0,0.0,1.0,,,,,0.0,1.0,,1.0,1.0,,0.0,1.0,,1.0,,,,,,1.0,JPN,ITA,L,Player,22,PERIŠ,IVANOSKI
560,KOPPU,Harukiirario,21:29,21.0,29.0,0.0,1.0,,,,,,,,,0.0,1.0,,,,,,,1.0,2.0,,,,,,,,,,,1.0,1.0,JPN,ITA,L,Player,22,PERIŠ,IVANOSKI
561,SHIGA,Mitsuaki,20:36,20.0,36.0,1.0,5.0,0.0,2.0,,,,,0.0,1.0,,,,,,,1.0,2.0,,4.0,,,,,,,,,,,1.0,1.0,JPN,ITA,L,Player,22,PERIŠ,IVANOSKI
562,YOSHIDA,Takuma,16:54,16.0,54.0,0.0,2.0,,,,,,,0.0,2.0,,,,,,,,,,,,,0.0,1.0,,,1.0,,,,,1.0,JPN,ITA,L,Player,22,PERIŠ,IVANOSKI
