,Last,First,Play Time,Minutes,Seconds,Goals,Shots,Action Goals,Action Shots,Center Goals,Center Shots,Drive Goals,Drive Shots,Extra Goals,Extra Shots,Foul Goals,Foul Shots,6MF Goals,6MF Shots,PS Goals,PS Shots,CA Goals,CA Shots,TF,ST,RB,BL,SP Won,SP Attempts,CP EX,FP EX,DS EX,M6 EX,CS EX,DE,P EX,Total EX,Team,Opponent,Outcome,stat_type,Match Number,Ref 1,Ref 2
602,CUPIDO,Luca,24:31,24.0,31.0,1.0,7.0,0.0,4.0,,,,,1.0,3.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,USA,HUN,L,Player,24,BUCH JUANOLA,VOEVODIN
603,HALLOCK,Ben,17:55,17.0,55.0,2.0,5.0,,,1.0,3.0,,,1.0,1.0,0.0,1.0,,,,,,,2.0,1.0,,,,,,,,,,,,0.0,USA,HUN,L,Player,24,BUCH JUANOLA,VOEVODIN
604,WOODHEAD,Dylan,6:53,6.0,53.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,USA,HUN,L,Player,24,BUCH JUANOLA,VOEVODIN
605,BOWEN,Alex,24:26,24.0,26.0,2.0,3.0,1.0,1.0,,,,,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,0.0,USA,HUN,L,Player,24,BUCH JUANOLA,VOEVODIN
606,STEVENSON,Ben,15:24,15.0,24.0,0.0,3.0,,,,,,,0.0,3.0,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,1.0,USA,HUN,L,Player,24,BUCH JUANOLA,VOEVODIN
607,SMITH,Jesse,6:55,6.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,2.0,USA,HUN,L,Player,24,BUCH JUANOLA,VOEVODIN
608,IRVING,Max,23:54,23.0,54.0,0.0,2.0,0.0,1.0,,,,,0.0,1.0,,,,,,,,,,1.0,1.0,,0.0,1.0,,,,,,,1.0,1.0,USA,HUN,L,Player,24,BUCH JUANOLA,VOEVODIN
609,,,,,,8.0,31.0,1.0,8.0,2.0,5.0,,,5.0,16.0,0.0,2.0,,,,,,,4.0,6.0,1.0,5.0,2.0,4.0,7.0,,,1.0,1.0,,1.0,10.0,USA,HUN,L,Team,24,BUCH JUANOLA,VOEVODIN
610,NAGY,Viktor,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,HUN,USA,W,Player,24,BUCH JUANOLA,VOEVODIN
611,ANGYAL,Daniel,14:17,14.0,17.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,HUN,USA,W,Player,24,VOEVODIN,BUCH JUANOLA
612,MANHERCZ,Krisztian,24:12,24.0,12.0,3.0,5.0,1.0,1.0,,,,,1.0,3.0,1.0,1.0,,,,,,,,1.0,2.0,2.0,1.0,2.0,,,,,,,,0.0,HUN,USA,W,Player,24,VOEVODIN,BUCH JUANOLA
613,ZALANKI,Gergo,22:56,22.0,56.0,0.0,7.0,0.0,5.0,,,,,0.0,1.0,0.0,1.0,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,2.0,HUN,USA,W,Player,24,VOEVODIN,BUCH JUANOLA
614,VAMOS,Marton,19:43,19.0,43.0,2.0,2.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,,,,1.0,,,1.0,,,2.0,HUN,USA,W,Player,24,VOEVODIN,BUCH JUANOLA
615,HOSNYANSZKY,Norbert,14:22,14.0,22.0,1.0,4.0,0.0,2.0,,,,,1.0,2.0,,,,,,,,,,,1.0,,,,2.0,,,,,,,2.0,HUN,USA,W,Player,24,VOEVODIN,BUCH JUANOLA
616,PASZTOR,Matyas,15:56,15.0,56.0,1.0,2.0,,,,,,,1.0,2.0,,,,,,,,,2.0,,1.0,,,,1.0,,,,,,,1.0,HUN,USA,W,Player,24,VOEVODIN,BUCH JUANOLA
617,JANSIK,Szilard,11:51,11.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,2.0,HUN,USA,W,Player,24,VOEVODIN,BUCH JUANOLA
618,ERDELYI,Balazs,12:26,12.0,26.0,0.0,2.0,,,,,,,0.0,2.0,,,,,,,,,,,,,1.0,2.0,1.0,2.0,,,,,,3.0,HUN,USA,W,Player,24,VOEVODIN,BUCH JUANOLA
619,VARGA,Denes,29:33,29.0,33.0,2.0,5.0,1.0,4.0,,,,,,,,,,,1.0,1.0,,,,1.0,2.0,1.0,,,1.0,,,,,,,1.0,HUN,USA,W,Player,24,VOEVODIN,BUCH JUANOLA
620,MEZEI,Tamas,13:28,13.0,28.0,1.0,2.0,,,1.0,1.0,,,0.0,1.0,,,,,,,,,2.0,,2.0,,,,,1.0,,,,,,1.0,HUN,USA,W,Player,24,VOEVODIN,BUCH JUANOLA
621,HARAI,Balazs,13:16,13.0,16.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,3.0,,,1.0,,,,,,,1.0,,,1.0,HUN,USA,W,Player,24,VOEVODIN,BUCH JUANOLA
622,,,,,,11.0,31.0,3.0,13.0,2.0,2.0,,,4.0,13.0,1.0,2.0,,,1.0,1.0,,,8.0,5.0,8.0,6.0,2.0,4.0,8.0,6.0,,,2.0,,,16.0,HUN,USA,W,Team,24,VOEVODIN,BUCH JUANOLA
623,TANAMURA,Katsuyuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,JPN,RSA,W,Player,25,VOEVODIN,BUCH JUANOLA
624,ADACHI,Seiya,19:05,19.0,5.0,4.0,8.0,0.0,2.0,,,,,2.0,3.0,,,,,1.0,2.0,1.0,1.0,,,,,2.0,2.0,,1.0,,,1.0,,,2.0,JPN,RSA,W,Player,25,PUTNIKOVIC,WALDOW
625,KOPPU,Harukiirario,19:04,19.0,4.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,1.0,2.0,,,,,1.0,,,,,,,1.0,JPN,RSA,W,Player,25,PUTNIKOVIC,WALDOW
626,SHIGA,Mitsuaki,23:48,23.0,48.0,2.0,2.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,1.0,JPN,RSA,W,Player,25,PUTNIKOVIC,WALDOW
627,YOSHIDA,Takuma,17:35,17.0,35.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,JPN,RSA,W,Player,25,PUTNIKOVIC,WALDOW
628,SHIMIZU,Yusuke,13:54,13.0,54.0,3.0,7.0,,,2.0,4.0,,,0.0,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,0.0,JPN,RSA,W,Player,25,PUTNIKOVIC,WALDOW
629,TAKATA,Mitsuru,15:32,15.0,32.0,2.0,3.0,0.0,1.0,,,,,,,,,,,,,2.0,2.0,,1.0,1.0,,,,1.0,1.0,,,,,,2.0,JPN,RSA,W,Player,25,PUTNIKOVIC,WALDOW
630,ARAI,Atsushi,26:07,26.0,7.0,4.0,6.0,1.0,1.0,,,,,3.0,4.0,0.0,1.0,,,,,,,,,2.0,1.0,1.0,2.0,,1.0,,,,,,1.0,JPN,RSA,W,Player,25,PUTNIKOVIC,WALDOW
631,INABA,Yusuke,23:15,23.0,15.0,3.0,9.0,2.0,4.0,,,,,0.0,3.0,,,,,1.0,1.0,0.0,1.0,,4.0,1.0,,,,,,,,,,,0.0,JPN,RSA,W,Player,25,PUTNIKOVIC,WALDOW
632,OKAWA,Keigo,22:45,22.0,45.0,3.0,3.0,,,,,,,,,,,,,,,3.0,3.0,,1.0,1.0,,,,1.0,,,,,,,1.0,JPN,RSA,W,Player,25,PUTNIKOVIC,WALDOW
633,ARAKI,Kenta,10:55,10.0,55.0,3.0,3.0,,,2.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,JPN,RSA,W,Player,25,PUTNIKOVIC,WALDOW
634,FUKUSHIMA,Tomoyoshi,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,1.0,,,,,,1.0,2.0,JPN,RSA,W,Player,25,PUTNIKOVIC,WALDOW
635,,,,,,24.0,43.0,4.0,10.0,4.0,6.0,1.0,1.0,6.0,14.0,0.0,1.0,,,2.0,3.0,7.0,8.0,1.0,14.0,5.0,1.0,3.0,4.0,5.0,3.0,,,1.0,,2.0,11.0,JPN,RSA,W,Team,25,PUTNIKOVIC,WALDOW
636,MADI,Lwazi,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,0.0,RSA,JPN,L,Player,25,PUTNIKOVIC,WALDOW
637,CARD,Devon,19:24,19.0,24.0,1.0,3.0,,,0.0,2.0,,,1.0,1.0,,,,,,,,,2.0,,,2.0,,,,,,,,,,0.0,RSA,JPN,L,Player,25,WALDOW,PUTNIKOVIC
638,REZELMAN,Timothy,8:47,8.0,47.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,1.0,,,,,,,,,,2.0,,1.0,3.0,RSA,JPN,L,Player,25,WALDOW,PUTNIKOVIC
639,BADENHORST,Nardus,19:36,19.0,36.0,2.0,6.0,1.0,3.0,,,,,1.0,1.0,0.0,1.0,,,0.0,1.0,,,,,,,,,,,,,1.0,,,1.0,RSA,JPN,L,Player,25,WALDOW,PUTNIKOVIC
640,LAURENSON,Cameron Bain,7:35,7.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,RSA,JPN,L,Player,25,WALDOW,PUTNIKOVIC
641,STONE,Ross,15:19,15.0,19.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,,,1.0,1.0,,1.0,,,,3.0,RSA,JPN,L,Player,25,WALDOW,PUTNIKOVIC
642,EVEZARD,Jason,18:59,18.0,59.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,1.0,1.0,,,,,1.0,3.0,RSA,JPN,L,Player,25,WALDOW,PUTNIKOVIC
643,RODDA,Nicholas,21:16,21.0,16.0,0.0,2.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,0.0,RSA,JPN,L,Player,25,WALDOW,PUTNIKOVIC
644,MARGRO,Yaseen,22:45,22.0,45.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,0.0,1.0,,,1.0,,,,,1.0,RSA,JPN,L,Player,25,WALDOW,PUTNIKOVIC
645,MAYMAN,Mogamad Farouk,14:40,14.0,40.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,RSA,JPN,L,Player,25,WALDOW,PUTNIKOVIC
646,NEILL,Liam,21:37,21.0,37.0,4.0,5.0,1.0,2.0,2.0,2.0,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,1.0,,1.0,,,,,2.0,RSA,JPN,L,Player,25,WALDOW,PUTNIKOVIC
647,STEWART,Donn,22:02,22.0,2.0,1.0,5.0,0.0,2.0,,,,,1.0,2.0,,,,,0.0,1.0,,,1.0,2.0,1.0,,,,,,,,,,1.0,1.0,RSA,JPN,L,Player,25,WALDOW,PUTNIKOVIC
648,,,,,,9.0,23.0,2.0,8.0,2.0,4.0,,,5.0,7.0,0.0,2.0,,,0.0,2.0,,,9.0,7.0,2.0,4.0,1.0,4.0,5.0,2.0,2.0,1.0,3.0,,3.0,16.0,RSA,JPN,L,Team,25,WALDOW,PUTNIKOVIC
649,NAGY,Viktor,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,HUN,ITA,L,Player,26,WALDOW,PUTNIKOVIC
650,ANGYAL,Daniel,14:31,14.0,31.0,1.0,2.0,,,,,,,1.0,2.0,,,,,,,,,1.0,,2.0,1.0,,,1.0,,1.0,,,,,2.0,HUN,ITA,L,Player,26,BUCH JUANOLA,VOEVODIN
651,MANHERCZ,Krisztian,25:43,25.0,43.0,0.0,7.0,0.0,4.0,,,,,0.0,2.0,,,,,,,0.0,1.0,,,1.0,1.0,0.0,1.0,,,,,,,,0.0,HUN,ITA,L,Player,26,BUCH JUANOLA,VOEVODIN
652,ZALANKI,Gergo,24:10,24.0,10.0,0.0,3.0,0.0,1.0,,,,,0.0,2.0,,,,,,,,,,,,2.0,0.0,1.0,,,,,,,,0.0,HUN,ITA,L,Player,26,BUCH JUANOLA,VOEVODIN
653,VAMOS,Marton,25:45,25.0,45.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,HUN,ITA,L,Player,26,BUCH JUANOLA,VOEVODIN
654,HOSNYANSZKY,Norbert,6:49,6.0,49.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,2.0,HUN,ITA,L,Player,26,BUCH JUANOLA,VOEVODIN
655,PASZTOR,Matyas,13:30,13.0,30.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,HUN,ITA,L,Player,26,BUCH JUANOLA,VOEVODIN
656,JANSIK,Szilard,13:16,13.0,16.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,2.0,HUN,ITA,L,Player,26,BUCH JUANOLA,VOEVODIN
657,ERDELYI,Balazs,14:26,14.0,26.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,,,,0.0,1.0,1.0,,,,,,,1.0,HUN,ITA,L,Player,26,BUCH JUANOLA,VOEVODIN
658,VARGA,Denes,26:11,26.0,11.0,3.0,3.0,1.0,1.0,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,0.0,HUN,ITA,L,Player,26,BUCH JUANOLA,VOEVODIN
659,MEZEI,Tamas,13:55,13.0,55.0,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,,,,,1.0,,,1.0,,,2.0,HUN,ITA,L,Player,26,BUCH JUANOLA,VOEVODIN
660,HARAI,Balazs,13:44,13.0,44.0,0.0,1.0,,,0.0,1.0,,,,,,,,,,,,,2.0,,,1.0,,,1.0,1.0,,,1.0,,,3.0,HUN,ITA,L,Player,26,BUCH JUANOLA,VOEVODIN
661,,,,,,5.0,21.0,2.0,7.0,0.0,1.0,,,2.0,11.0,,,,,,,1.0,2.0,6.0,2.0,7.0,7.0,1.0,4.0,5.0,4.0,1.0,,3.0,,1.0,14.0,HUN,ITA,L,Team,26,BUCH JUANOLA,VOEVODIN
662,Del LUNGO,Marco,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,ITA,HUN,W,Player,26,BUCH JUANOLA,VOEVODIN
663,Di FULVIO,Francesco,25:23,25.0,23.0,1.0,9.0,0.0,5.0,,,,,1.0,4.0,,,,,,,,,1.0,,,1.0,2.0,2.0,,,,,,,,0.0,ITA,HUN,W,Player,26,VOEVODIN,BUCH JUANOLA
664,LUONGO,Stefano,25:36,25.0,36.0,0.0,4.0,0.0,2.0,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,ITA,HUN,W,Player,26,VOEVODIN,BUCH JUANOLA
665,FIGLIOLI,Pietro,19:35,19.0,35.0,2.0,6.0,1.0,3.0,,,,,0.0,2.0,,,,,1.0,1.0,,,,1.0,2.0,1.0,1.0,1.0,,1.0,,,,,,1.0,ITA,HUN,W,Player,26,VOEVODIN,BUCH JUANOLA
666,PRESCIUTTI,Nicholas,22:26,22.0,26.0,0.0,3.0,0.0,2.0,,,,,0.0,1.0,,,,,,,,,,3.0,1.0,,,,2.0,,,,,,,2.0,ITA,HUN,W,Player,26,VOEVODIN,BUCH JUANOLA
667,VELOTTO,Alessandro,8:43,8.0,43.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,ITA,HUN,W,Player,26,VOEVODIN,BUCH JUANOLA
668,RENZUTO IODICE,Vincenzo,14:20,14.0,20.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,1.0,ITA,HUN,W,Player,26,VOEVODIN,BUCH JUANOLA
669,ECHENIQUE,Gonzalo,28:50,28.0,50.0,1.0,4.0,0.0,3.0,,,,,1.0,1.0,,,,,,,,,,2.0,2.0,1.0,,,1.0,1.0,,,,,,2.0,ITA,HUN,W,Player,26,VOEVODIN,BUCH JUANOLA
670,FIGARI,Niccolo,5:31,5.0,31.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,,,,,,2.0,,1.0,,,,,3.0,ITA,HUN,W,Player,26,VOEVODIN,BUCH JUANOLA
671,BODEGAS,Michael Alexandre,15:51,15.0,51.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,2.0,2.0,1.0,1.0,,,,,,,1.0,,,1.0,ITA,HUN,W,Player,26,VOEVODIN,BUCH JUANOLA
672,AICARDI,Matteo,15:42,15.0,42.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,1.0,ITA,HUN,W,Player,26,VOEVODIN,BUCH JUANOLA
673,DOLCE,Vincenzo,10:03,10.0,3.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,ITA,HUN,W,Player,26,VOEVODIN,BUCH JUANOLA
674,,,,,,5.0,31.0,1.0,17.0,,,,,3.0,12.0,0.0,1.0,,,1.0,1.0,,,6.0,8.0,8.0,4.0,3.0,4.0,9.0,3.0,1.0,,1.0,,,14.0,ITA,HUN,W,Team,26,VOEVODIN,BUCH JUANOLA
675,ZERDEVAS,Emmanouil,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,GRE,USA,W,Player,27,VOEVODIN,BUCH JUANOLA
676,GENIDOUNIAS,Konstantinos,18:27,18.0,27.0,5.0,7.0,1.0,3.0,,,,,2.0,2.0,,,,,1.0,1.0,1.0,1.0,,2.0,1.0,,0.0,2.0,,,,,,,,0.0,GRE,USA,W,Player,27,ZWART,ALEXANDRESCU
677,SKOUMPAKIS,Dimitrios,10:19,10.0,19.0,1.0,3.0,1.0,2.0,,,,,0.0,1.0,,,,,,,,,,1.0,,,,,3.0,,,,,,,3.0,GRE,USA,W,Player,27,ZWART,ALEXANDRESCU
678,KAPOTSIS,Marios,21:41,21.0,41.0,0.0,2.0,0.0,1.0,,,,,0.0,1.0,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,1.0,GRE,USA,W,Player,27,ZWART,ALEXANDRESCU
679,FOUNTOULIS,Ioannis,25:05,25.0,5.0,4.0,4.0,2.0,2.0,,,,,1.0,1.0,,,,,,,1.0,1.0,3.0,1.0,,2.0,,,,,,,1.0,,,1.0,GRE,USA,W,Player,27,ZWART,ALEXANDRESCU
680,PAPANASTASIOU,Alexandros,21:10,21.0,10.0,,,,,,,,,,,,,,,,,,,,2.0,1.0,,1.0,2.0,,,,,,,,0.0,GRE,USA,W,Player,27,ZWART,ALEXANDRESCU
681,DERVISIS,Georgios,7:51,7.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,3.0,GRE,USA,W,Player,27,ZWART,ALEXANDRESCU
682,ARGYROPOULOS KANAKAKIS,Stylianos,19:08,19.0,8.0,2.0,4.0,0.0,1.0,1.0,1.0,,,1.0,2.0,,,,,,,,,,,1.0,,,,3.0,,,,,,,3.0,GRE,USA,W,Player,27,ZWART,ALEXANDRESCU
683,MOURIKIS,Konstantinos,13:46,13.0,46.0,0.0,1.0,,,0.0,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,0.0,GRE,USA,W,Player,27,ZWART,ALEXANDRESCU
684,KOLOMVOS,Christodoulos,11:22,11.0,22.0,1.0,2.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,GRE,USA,W,Player,27,ZWART,ALEXANDRESCU
685,GKIOUVETSIS,Konstantinos,17:35,17.0,35.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,,1.0,2.0,,,1.0,,,,1.0,,,2.0,GRE,USA,W,Player,27,ZWART,ALEXANDRESCU
686,VLACHOPOULOS,Angelos,25:36,25.0,36.0,1.0,3.0,0.0,1.0,,,,,,,0.0,1.0,,,1.0,1.0,,,,,3.0,,,,,,,,,,,0.0,GRE,USA,W,Player,27,ZWART,ALEXANDRESCU
687,,,,,,14.0,27.0,4.0,10.0,2.0,4.0,,,4.0,8.0,0.0,1.0,,,2.0,2.0,2.0,2.0,6.0,7.0,7.0,7.0,1.0,4.0,10.0,1.0,1.0,,2.0,,,14.0,GRE,USA,W,Team,27,ZWART,ALEXANDRESCU
688,HOOPER,Johnny,19:01,19.0,1.0,0.0,2.0,0.0,1.0,,,,,0.0,1.0,,,,,,,,,,,,,3.0,4.0,,,,,,,,0.0,USA,GRE,L,Player,27,ZWART,ALEXANDRESCU
689,VAVIC,Marko,18:50,18.0,50.0,0.0,2.0,0.0,1.0,,,,,0.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,USA,GRE,L,Player,27,ALEXANDRESCU,ZWART
690,OBERT,Alex,15:24,15.0,24.0,2.0,3.0,,,2.0,2.0,,,0.0,1.0,,,,,,,,,2.0,1.0,,,,,,,,,1.0,,1.0,2.0,USA,GRE,L,Player,27,ALEXANDRESCU,ZWART
691,DAUBE,Hannes,18:55,18.0,55.0,0.0,5.0,0.0,2.0,,,,,0.0,1.0,0.0,1.0,,,,,0.0,1.0,,,1.0,1.0,,,,,,,,,,0.0,USA,GRE,L,Player,27,ALEXANDRESCU,ZWART
692,CUPIDO,Luca,24:52,24.0,52.0,0.0,2.0,,,,,,,0.0,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,USA,GRE,L,Player,27,ALEXANDRESCU,ZWART
693,HALLOCK,Ben,19:16,19.0,16.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,0.0,USA,GRE,L,Player,27,ALEXANDRESCU,ZWART
694,WOODHEAD,Dylan,9:05,9.0,5.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,USA,GRE,L,Player,27,ALEXANDRESCU,ZWART
695,BOWEN,Alex,21:39,21.0,39.0,1.0,10.0,0.0,4.0,0.0,1.0,,,1.0,5.0,,,,,,,,,1.0,,1.0,1.0,,,,1.0,,,1.0,,,2.0,USA,GRE,L,Player,27,ALEXANDRESCU,ZWART
696,STEVENSON,Ben,11:40,11.0,40.0,1.0,2.0,,,,,,,1.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,,,,,0.0,USA,GRE,L,Player,27,ALEXANDRESCU,ZWART
697,SMITH,Jesse,9:10,9.0,10.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,USA,GRE,L,Player,27,ALEXANDRESCU,ZWART
698,IRVING,Max,24:08,24.0,8.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.0,USA,GRE,L,Player,27,ALEXANDRESCU,ZWART
699,HOLLAND,Drew,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,0.0,USA,GRE,L,Player,27,ALEXANDRESCU,ZWART
700,,,,,,5.0,29.0,1.0,11.0,2.0,3.0,,,2.0,11.0,0.0,1.0,,,,,0.0,2.0,7.0,6.0,2.0,3.0,3.0,4.0,3.0,1.0,1.0,,2.0,,2.0,9.0,USA,GRE,L,Team,27,ALEXANDRESCU,ZWART
701,MANDIC,Dusan,15:15,15.0,15.0,1.0,3.0,0.0,2.0,,,,,,,,,,,1.0,1.0,,,,2.0,1.0,,,,,1.0,,,,,1.0,2.0,SRB,MNE,W,Player,28,ALEXANDRESCU,ZWART
702,DEDOVIC,Nikola,25:56,25.0,56.0,2.0,5.0,1.0,4.0,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,0.0,2.0,,,,,,,1.0,1.0,SRB,MNE,W,Player,28,SEVERO,OHME
703,RANDELOVIC,Sava,10:11,10.0,11.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,2.0,,,1.0,,,2.0,,,,,,,2.0,SRB,MNE,W,Player,28,SEVERO,OHME
704,LAZIC,Dorde,16:09,16.0,9.0,1.0,4.0,0.0,1.0,1.0,2.0,,,,,,,,,,,0.0,1.0,1.0,3.0,,1.0,,,,,,,1.0,,,1.0,SRB,MNE,W,Player,28,SEVERO,OHME
705,PIJETLOVIC,Dusko,18:06,18.0,6.0,2.0,5.0,,,1.0,3.0,,,1.0,2.0,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,0.0,SRB,MNE,W,Player,28,SEVERO,OHME
706,RASOVIC,Strahin a,21:15,21.0,15.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,,,1.0,2.0,2.0,,,,,,,,0.0,SRB,MNE,W,Player,28,SEVERO,OHME
707,ALEKSIC,Milan,15:08,15.0,8.0,1.0,2.0,0.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,SRB,MNE,W,Player,28,SEVERO,OHME
708,JAKSIC,Nikola,16:09,16.0,9.0,1.0,3.0,0.0,2.0,,,,,1.0,1.0,,,,,,,,,,2.0,,,,,2.0,,,,,,,2.0,SRB,MNE,W,Player,28,SEVERO,OHME
709,FILIPOVIC,Filip,17:31,17.0,31.0,3.0,5.0,0.0,2.0,,,,,,,,,,,3.0,3.0,,,,,1.0,1.0,,,1.0,,,,,,,1.0,SRB,MNE,W,Player,28,SEVERO,OHME
710,PRLAINOVIC,Andri a,18:54,18.0,54.0,1.0,5.0,0.0,2.0,,,,,0.0,1.0,0.0,1.0,,,1.0,1.0,,,,,,1.0,,,,1.0,,,,,1.0,2.0,SRB,MNE,W,Player,28,SEVERO,OHME
711,MITROVIC,Stefan,17:26,17.0,26.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,0.0,SRB,MNE,W,Player,28,SEVERO,OHME
712,MITROVIC,Branislav,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,SRB,MNE,W,Player,28,SEVERO,OHME
713,,,,,,13.0,35.0,1.0,14.0,2.0,5.0,1.0,1.0,3.0,7.0,0.0,1.0,,,5.0,5.0,1.0,2.0,4.0,8.0,5.0,7.0,2.0,4.0,6.0,2.0,,,1.0,,3.0,12.0,SRB,MNE,W,Team,28,SEVERO,OHME
714,KANDIC,Slaven,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,MNE,SRB,L,Player,28,SEVERO,OHME
715,BRGULJAN,Drasko,16:05,16.0,5.0,0.0,5.0,0.0,3.0,,,,,0.0,2.0,,,,,,,,,,,,,1.0,3.0,,,,,,,2.0,2.0,MNE,SRB,L,Player,28,OHME,SEVERO
716,PERKOVIC,Miroslav,12:56,12.0,56.0,0.0,1.0,,,0.0,1.0,,,,,,,,,,,,,3.0,,1.0,,,,,,1.0,,,,1.0,2.0,MNE,SRB,L,Player,28,OHME,SEVERO
717,PETKOVIC,Marko,23:13,23.0,13.0,0.0,3.0,0.0,2.0,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,MNE,SRB,L,Player,28,OHME,SEVERO
718,CUCKOVIC,Uros,12:29,12.0,29.0,0.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,MNE,SRB,L,Player,28,OHME,SEVERO
719,POPADIC,Vlado,21:31,21.0,31.0,0.0,1.0,,,,,,,,,,,,,,,0.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,1.0,1.0,MNE,SRB,L,Player,28,OHME,SEVERO
