,Last,First,Play Time,Minutes,Seconds,Goals,Shots,Action Goals,Action Shots,Center Goals,Center Shots,Drive Goals,Drive Shots,Extra Goals,Extra Shots,Foul Goals,Foul Shots,6MF Goals,6MF Shots,PS Goals,PS Shots,CA Goals,CA Shots,TF,ST,RB,BL,SP Won,SP Attempts,CP EX,FP EX,DS EX,M6 EX,CS EX,DE,P EX,Total EX,Team,Opponent,Outcome,stat_type
1011,NICOSIA,Gianmarco,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,ITA,MNE,W,Player
1012,,,,,,14.0,26.0,9.0,17.0,1.0,1.0,0.0,1.0,3.0,6.0,1.0,1.0,,,,,,,5.0,10.0,3.0,4.0,3.0,4.0,,3.0,2.0,2.0,3.0,,4.0,14.0,ITA,MNE,W,Team
1013,MACAN,Marko,15:24,15.0,24.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,2.0,,,,2.0,1.0,,,,1.0,,4.0,CRO,USA,W,Player
1014,FATOVIC,Loren,18:34,18.0,34.0,0.0,2.0,0.0,1.0,,,,,0.0,1.0,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,0.0,CRO,USA,W,Player
1015,LONCAR,Luka,15:30,15.0,30.0,2.0,3.0,,,,,,,2.0,3.0,,,,,,,,,,1.0,2.0,,,,,,,,,,,0.0,CRO,USA,W,Player
1016,JOKOVIC,Maro,25:21,25.0,21.0,2.0,7.0,1.0,4.0,,,0.0,1.0,,,0.0,1.0,,,1.0,1.0,,,,1.0,,1.0,,,1.0,,,,,,,1.0,CRO,USA,W,Player
1017,BUKIC,Luka,26:19,26.0,19.0,3.0,6.0,1.0,3.0,,,,,1.0,2.0,,,,,1.0,1.0,,,,,,,1.0,3.0,,1.0,,,,,,1.0,CRO,USA,W,Player
1018,VUKICEVIC,Ante,22:35,22.0,35.0,2.0,4.0,1.0,3.0,,,1.0,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,0.0,CRO,USA,W,Player
1019,BUSLJE,Andro,12:10,12.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,3.0,CRO,USA,W,Player
1020,MILOS,Lovre,13:34,13.0,34.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,0.0,1.0,,,,,,,,0.0,CRO,USA,W,Player
1021,VRLIC,Josip,16:30,16.0,30.0,0.0,5.0,0.0,1.0,0.0,2.0,,,0.0,2.0,,,,,,,,,1.0,1.0,2.0,1.0,,,,,,,,,1.0,1.0,CRO,USA,W,Player
1022,OBRADOVIC,Paulo,7:13,7.0,13.0,1.0,3.0,0.0,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,3.0,CRO,USA,W,Player
1023,GARCIA GADEA,Javier,18:50,18.0,50.0,2.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,CRO,USA,W,Player
1024,MARCELIC,Ivan,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,CRO,USA,W,Player
1025,,,,,,14.0,35.0,5.0,16.0,0.0,2.0,1.0,2.0,5.0,11.0,0.0,1.0,,,2.0,2.0,1.0,1.0,3.0,8.0,7.0,2.0,1.0,4.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,14.0,CRO,USA,W,Team
1026,HOOPER,Johnny,19:32,19.0,32.0,2.0,4.0,0.0,1.0,,,,,1.0,1.0,,,,,,,1.0,2.0,1.0,,,1.0,3.0,4.0,,,,,,,1.0,1.0,USA,CRO,L,Player
1027,VAVIC,Marko,21:05,21.0,5.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,1.0,,3.0,2.0,,,,,,,,,,0.0,USA,CRO,L,Player
1028,OBERT,Alex,13:12,13.0,12.0,2.0,2.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,1.0,,2.0,,,,2.0,,,,,,,2.0,USA,CRO,L,Player
1029,DAUBE,Hannes,20:29,20.0,29.0,0.0,2.0,0.0,1.0,,,,,0.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,2.0,USA,CRO,L,Player
1030,CUPIDO,Luca,22:31,22.0,31.0,0.0,3.0,0.0,2.0,,,,,,,0.0,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,USA,CRO,L,Player
1031,HALLOCK,Ben,22:17,22.0,17.0,2.0,4.0,,,,,,,2.0,4.0,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,,2.0,USA,CRO,L,Player
1032,WOODHEAD,Dylan,10:08,10.0,8.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,2.0,USA,CRO,L,Player
1033,BOWEN,Alex,24:43,24.0,43.0,2.0,7.0,0.0,4.0,,,,,2.0,2.0,0.0,1.0,,,,,,,,2.0,1.0,,,,1.0,,,,,,,1.0,USA,CRO,L,Player
1034,STEVENSON,Ben,12:55,12.0,55.0,1.0,3.0,0.0,1.0,,,,,0.0,1.0,,,,,1.0,1.0,,,,,,,,,1.0,,,1.0,,,,2.0,USA,CRO,L,Player
1035,SMITH,Jesse,7:45,7.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,USA,CRO,L,Player
1036,IRVING,Max,17:23,17.0,23.0,2.0,2.0,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,,1.0,1.0,,,2.0,USA,CRO,L,Player
1037,HOLLAND,Drew,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,0.0,USA,CRO,L,Player
1038,,,,,,11.0,28.0,1.0,11.0,,,,,7.0,11.0,0.0,2.0,,,1.0,1.0,2.0,3.0,9.0,6.0,6.0,3.0,3.0,4.0,9.0,1.0,,2.0,1.0,1.0,2.0,16.0,USA,CRO,L,Team
1039,NAGY,Viktor,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,HUN,ESP,W,Player
1040,ANGYAL,Daniel,17:57,17.0,57.0,1.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,HUN,ESP,W,Player
1041,MANHERCZ,Krisztian,26:31,26.0,31.0,1.0,5.0,0.0,4.0,,,,,1.0,1.0,,,,,,,,,,3.0,2.0,4.0,0.0,2.0,,,,,,,,0.0,HUN,ESP,W,Player
1042,ZALANKI,Gergo,17:33,17.0,33.0,1.0,3.0,0.0,2.0,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,2.0,,,,1.0,,,3.0,HUN,ESP,W,Player
1043,VAMOS,Marton,27:28,27.0,28.0,2.0,3.0,0.0,1.0,,,,,2.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,0.0,HUN,ESP,W,Player
1044,HOSNYANSZKY,Norbert,10:50,10.0,50.0,1.0,2.0,0.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,3.0,,,,,,,3.0,HUN,ESP,W,Player
1045,PASZTOR,Matyas,13:12,13.0,12.0,0.0,3.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,3.0,HUN,ESP,W,Player
1046,JANSIK,Szilard,12:50,12.0,50.0,1.0,2.0,0.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,2.0,,,,,,,2.0,HUN,ESP,W,Player
1047,ERDELYI,Balazs,20:34,20.0,34.0,0.0,3.0,0.0,2.0,,,0.0,1.0,,,,,,,,,,,,2.0,,,0.0,2.0,1.0,,,,,,,1.0,HUN,ESP,W,Player
1048,VARGA,Denes,17:44,17.0,44.0,1.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,3.0,HUN,ESP,W,Player
1049,MEZEI,Tamas,14:04,14.0,4.0,0.0,1.0,,,0.0,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,0.0,HUN,ESP,W,Player
1050,HARAI,Balazs,13:17,13.0,17.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,3.0,,,1.0,,,1.0,,1.0,,,,,2.0,HUN,ESP,W,Player
1051,,,,,,9.0,29.0,2.0,20.0,0.0,1.0,0.0,1.0,6.0,6.0,,,,,,,1.0,1.0,5.0,8.0,5.0,6.0,0.0,4.0,14.0,,2.0,1.0,1.0,,,18.0,HUN,ESP,W,Team
1052,LOPEZ PINEDO,Daniel,31:48,31.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,ESP,HUN,L,Player
1053,MUNARRIZ EGANA,Alberto,28:39,28.0,39.0,2.0,7.0,0.0,5.0,,,,,2.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,,0.0,ESP,HUN,L,Player
1054,GRANADOS ORTEGA,Alvaro,21:02,21.0,2.0,0.0,3.0,0.0,1.0,,,,,0.0,2.0,,,,,,,,,,,2.0,,,,,1.0,,,,,,1.0,ESP,HUN,L,Player
1055,SANAHUJA,Bernat,21:38,21.0,38.0,0.0,3.0,0.0,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,ESP,HUN,L,Player
1056,de TORO DOMINGUEZ,Miguel,8:53,8.0,53.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,2.0,,,,,,1.0,,1.0,,,,,2.0,ESP,HUN,L,Player
1057,LARUMBE GONFAUS,Marc,13:48,13.0,48.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,ESP,HUN,L,Player
1058,FAMERA,Martin,18:02,18.0,2.0,0.0,2.0,,,,,,,0.0,2.0,,,,,,,,,,,,1.0,4.0,4.0,1.0,1.0,,,,,,2.0,ESP,HUN,L,Player
1059,FERNANDEZ MIRANDA,Francisco,9:18,9.0,18.0,0.0,2.0,,,,,,,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,,,,,0.0,ESP,HUN,L,Player
1060,TAHULL COMPTE,Roger,17:55,17.0,55.0,1.0,3.0,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,0.0,ESP,HUN,L,Player
1061,PERRONE ROCHA,Felipe,26:23,26.0,23.0,1.0,5.0,0.0,1.0,,,,,1.0,3.0,0.0,1.0,,,,,,,,,2.0,,,,,,,,,,,0.0,ESP,HUN,L,Player
1062,MALLARACH GUELL,Blai,14:57,14.0,57.0,0.0,3.0,0.0,2.0,,,,,0.0,1.0,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,1.0,ESP,HUN,L,Player
1063,BUSTOS SANCHEZ,Ale andro,11:37,11.0,37.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,2.0,,,,,,,2.0,ESP,HUN,L,Player
1064,,,,,,5.0,29.0,0.0,12.0,,,,,5.0,15.0,0.0,1.0,,,,,0.0,1.0,2.0,2.0,7.0,3.0,4.0,4.0,5.0,2.0,1.0,,,,,8.0,ESP,HUN,L,Team
1065,ZERDEVAS,Emmanouil,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,GRE,SRB,L,Player
1066,GENIDOUNIAS,Konstantinos,20:51,20.0,51.0,0.0,7.0,0.0,5.0,,,,,0.0,2.0,,,,,,,,,,,1.0,,0.0,1.0,1.0,,,,,,,1.0,GRE,SRB,L,Player
1067,SKOUMPAKIS,Dimitrios,10:38,10.0,38.0,2.0,2.0,,,,,,,2.0,2.0,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,1.0,2.0,GRE,SRB,L,Player
1068,KAPOTSIS,Marios,15:11,15.0,11.0,0.0,3.0,0.0,2.0,,,,,0.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,0.0,GRE,SRB,L,Player
1069,FOUNTOULIS,Ioannis,24:35,24.0,35.0,2.0,6.0,1.0,3.0,,,,,1.0,3.0,,,,,,,,,1.0,1.0,,,,,,1.0,,,1.0,,,2.0,GRE,SRB,L,Player
1070,PAPANASTASIOU,Alexandros,22:23,22.0,23.0,1.0,3.0,1.0,2.0,,,,,0.0,1.0,,,,,,,,,,,,,3.0,3.0,,,,,1.0,,,1.0,GRE,SRB,L,Player
1071,DERVISIS,Georgios,9:48,9.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,GRE,SRB,L,Player
1072,ARGYROPOULOS KANAKAKIS,Stylianos,19:45,19.0,45.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,2.0,,,,,,,2.0,GRE,SRB,L,Player
1073,MOURIKIS,Konstantinos,13:31,13.0,31.0,1.0,2.0,,,1.0,1.0,,,0.0,1.0,,,,,,,,,3.0,,,,,,,,,,,,1.0,1.0,GRE,SRB,L,Player
1074,KOLOMVOS,Christodoulos,12:52,12.0,52.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,GRE,SRB,L,Player
1075,GKIOUVETSIS,Konstantinos,11:27,11.0,27.0,1.0,3.0,,,,,,,1.0,3.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,0.0,GRE,SRB,L,Player
1076,VLACHOPOULOS,Angelos,30:59,30.0,59.0,2.0,3.0,1.0,2.0,,,,,1.0,1.0,,,,,,,,,1.0,,2.0,,,,1.0,,,,,,,1.0,GRE,SRB,L,Player
1077,,,,,,10.0,31.0,3.0,15.0,1.0,1.0,,,6.0,15.0,,,,,,,,,6.0,3.0,6.0,1.0,3.0,4.0,6.0,1.0,,,2.0,,2.0,11.0,GRE,SRB,L,Team
1078,MANDIC,Dusan,24:34,24.0,34.0,3.0,6.0,1.0,3.0,,,,,2.0,2.0,0.0,1.0,,,,,,,1.0,,1.0,,,,2.0,,,,,,,2.0,SRB,GRE,W,Player
1079,DEDOVIC,Nikola,16:42,16.0,42.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,2.0,1.0,,,,,,3.0,SRB,GRE,W,Player
1080,RANDELOVIC,Sava,11:51,11.0,51.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,3.0,,,,,,,3.0,SRB,GRE,W,Player
1081,LAZIC,Dorde,10:06,10.0,6.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,SRB,GRE,W,Player
1082,PIJETLOVIC,Dusko,17:44,17.0,44.0,2.0,5.0,,,1.0,3.0,,,1.0,2.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,0.0,SRB,GRE,W,Player
1083,RASOVIC,Strahin a,23:31,23.0,31.0,0.0,4.0,0.0,3.0,,,,,0.0,1.0,,,,,,,,,,1.0,,,1.0,3.0,,,,,,,,0.0,SRB,GRE,W,Player
1084,ALEKSIC,Milan,12:39,12.0,39.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,2.0,,,3.0,,,,,,,3.0,SRB,GRE,W,Player
1085,JAKSIC,Nikola,12:20,12.0,20.0,3.0,3.0,1.0,1.0,,,,,2.0,2.0,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,2.0,SRB,GRE,W,Player
1086,FILIPOVIC,Filip,21:45,21.0,45.0,2.0,3.0,1.0,2.0,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,1.0,,,,,,,1.0,SRB,GRE,W,Player
1087,PRLAINOVIC,Andri a,23:06,23.0,6.0,3.0,4.0,0.0,1.0,1.0,1.0,,,1.0,1.0,,,,,1.0,1.0,,,1.0,1.0,2.0,,,,1.0,1.0,,,,,,2.0,SRB,GRE,W,Player
1088,MITROVIC,Stefan,17:42,17.0,42.0,0.0,1.0,,,,,,,0.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,0.0,SRB,GRE,W,Player
1089,MITROVIC,Branislav,32:00,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,SRB,GRE,W,Player
1090,,,,,,13.0,29.0,3.0,13.0,2.0,4.0,,,6.0,9.0,0.0,1.0,,,2.0,2.0,,,6.0,3.0,8.0,6.0,1.0,4.0,14.0,3.0,,,,,,17.0,SRB,GRE,W,Team
