,Last,First,Play Time,Minutes,Seconds,Goals,Shots,Action Goals,Action Shots,Center Goals,Center Shots,Drive Goals,Drive Shots,Extra Goals,Extra Shots,Foul Goals,Foul Shots,6MF Goals,6MF Shots,PS Goals,PS Shots,CA Goals,CA Shots,TF,ST,RB,BL,SP Won,SP Attempts,CP EX,FP EX,DS EX,M6 EX,CS EX,DE,P EX,Total EX,Team,Opponent,Outcome,stat_type,Tournament
840,VARGA,Denes,27:48:00,27,48,2,7,2,6,,,,,0,1,,,,,,,,,1,,,2,,,1,,,,,,,1,HUN,CRO,1,Player,OLY2020
841,MEZEI,Tamas,13:40,13,40,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,0,HUN,CRO,1,Player,OLY2020
842,HARAI,Balazs,15:28,15,28,0,2,,,0,1,,,0,1,,,,,,,,,1,1,,1,,,,,,,,,,0,HUN,CRO,1,Player,OLY2020
843,,,,,,15,30,4,10,2,3,,,7,13,1,1,,,1,1,0,2,9,4,10,7,1,4,12,3,,,2,,,17,HUN,CRO,1,Team,OLY2020
844,BIJAC,Marko,32:00:00,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,CRO,HUN,0,Player,OLY2020
845,MACAN,Marko,4:58,4,58,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3,CRO,HUN,0,Player,OLY2020
846,FATOVIC,Loren,22:30,22,30,1,3,0,1,,,,,1,2,,,,,,,,,,,,,,,,,,,,,1,1,CRO,HUN,0,Player,OLY2020
847,LONCAR,Luka,14:32,14,32,1,5,0,1,0,1,,,1,3,,,,,,,,,3,,,,,,,1,,,,,,1,CRO,HUN,0,Player,OLY2020
848,JOKOVIC,Maro,27:52:00,27,52,1,3,0,1,,,1,1,0,1,,,,,,,,,1,1,,,,,1,,,,,,,1,CRO,HUN,0,Player,OLY2020
849,BUKIC,Luka,24:44:00,24,44,4,5,0,1,,,,,4,4,,,,,,,,,3,1,1,1,3,3,1,,,,,,,1,CRO,HUN,0,Player,OLY2020
850,VUKICEVIC,Ante,16:52,16,52,1,2,0,1,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,0,CRO,HUN,0,Player,OLY2020
851,BUSLJE,Andro,21:50,21,50,0,5,0,3,,,,,0,2,,,,,,,,,,2,,,,,1,,,,1,,,2,CRO,HUN,0,Player,OLY2020
852,MILOS,Lovre,13:19,13,19,1,2,1,2,,,,,,,,,,,,,,,,,,,0,1,,1,,,,,,1,CRO,HUN,0,Player,OLY2020
853,VRLIC,Josip,16:31,16,31,0,4,0,1,,,,,0,3,,,,,,,,,1,,1,,,,,,,,,,,0,CRO,HUN,0,Player,OLY2020
854,OBRADOVIC,Paulo,16:42,16,42,2,5,0,2,,,,,2,2,0,1,,,,,,,,,1,,,,1,,,,,,,1,CRO,HUN,0,Player,OLY2020
855,GARCIA GADEA,Javier,12:10,12,10,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,2,CRO,HUN,0,Player,OLY2020
856,,,,,,11,34,1,13,0,1,1,1,9,18,0,1,,,,,,,8,5,3,1,3,4,8,3,,,1,,1,13,CRO,HUN,0,Team,OLY2020
857,WOLF,Alex,32:00:00,32,0,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,0,USA,ESP,0,Player,OLY2020
858,HOOPER,Johnny,22:52,22,52,0,2,0,1,,,,,0,1,,,,,,,,,1,,2,,3,4,1,,,,,,1,2,USA,ESP,0,Player,OLY2020
859,VAVIC,Marko,15:29,15,29,0,2,0,1,,,,,0,1,,,,,,,,,,,1,,,,,,,,,,,0,USA,ESP,0,Player,OLY2020
860,OBERT,Alex,17:37,17,37,2,6,,,1,2,,,1,4,,,,,,,,,,,1,,,,,,,,,,,0,USA,ESP,0,Player,OLY2020
861,DAUBE,Hannes,24:51:00,24,51,3,8,1,3,,,,,2,5,,,,,,,,,,,1,1,,,1,,,,,,,1,USA,ESP,0,Player,OLY2020
862,CUPIDO,Luca,24:34:00,24,34,1,2,0,1,,,,,1,1,,,,,,,,,,1,2,1,,,1,,,,,,1,2,USA,ESP,0,Player,OLY2020
863,HALLOCK,Ben,16:32,16,32,1,1,,,,,,,1,1,,,,,,,,,,,,,,,2,,,1,,,,3,USA,ESP,0,Player,OLY2020
864,WOODHEAD,Dylan,12:26,12,26,0,1,0,1,,,,,,,,,,,,,,,1,,1,1,,,2,,,,,,,2,USA,ESP,0,Player,OLY2020
865,BOWEN,Alex,25:02:00,25,2,1,5,1,2,,,,,0,2,0,1,,,,,,,,1,1,,,,,,,,,,,0,USA,ESP,0,Player,OLY2020
866,STEVENSON,Ben,7:24,7,24,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,0,USA,ESP,0,Player,OLY2020
867,SMITH,Jesse,3:00,3,0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,2,USA,ESP,0,Player,OLY2020
868,IRVING,Max,22:13,22,13,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,1,USA,ESP,0,Player,OLY2020
869,,,,,,8,27,2,9,1,2,,,5,15,0,1,,,,,,,5,5,10,3,3,4,8,1,,1,1,,2,13,USA,ESP,0,Team,OLY2020
870,LOPEZ PINEDO,Daniel,32:00:00,32,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,ESP,USA,1,Player,OLY2020
871,MUNARRIZ EGANA,Alberto,28:41:00,28,41,2,4,0,2,,,,,,,,,,,2,2,,,,2,1,,,,2,,,,,,,2,ESP,USA,1,Player,OLY2020
872,GRANADOS ORTEGA,Alvaro,25:20:00,25,20,2,8,1,3,,,,,0,3,1,1,,,,,0,1,1,1,1,,0,1,,1,,,,,,1,ESP,USA,1,Player,OLY2020
873,SANAHUJA,Bernat,13:32,13,32,2,2,1,1,,,,,1,1,,,,,,,,,,3,,,0,1,1,,,,,,,1,ESP,USA,1,Player,OLY2020
874,de TORO DOMINGUEZ,Miguel,14:07,14,7,1,1,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,0,ESP,USA,1,Player,OLY2020
875,LARUMBE GONFAUS,Marc,20:04,20,4,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,2,ESP,USA,1,Player,OLY2020
876,FAMERA,Martin,9:44,9,44,0,2,0,2,,,,,,,,,,,,,,,,,,,1,2,3,,,,,,,3,ESP,USA,1,Player,OLY2020
877,FERNANDEZ MIRANDA,Francisco,15:46,15,46,2,3,1,2,,,,,,,,,,,,,1,1,,,1,1,,,,,,1,,,,1,ESP,USA,1,Player,OLY2020
878,TAHULL COMPTE,Roger,14:09,14,9,1,3,,,1,2,,,0,1,,,,,,,,,,,,1,,,,,,,,,,0,ESP,USA,1,Player,OLY2020
879,PERRONE ROCHA,Felipe,25:48:00,25,48,1,3,0,1,,,,,1,1,,,,,,,0,1,,1,1,,,,2,,,,,,,2,ESP,USA,1,Player,OLY2020
880,MALLARACH GUELL,Blai,15:21,15,21,1,3,1,1,,,,,0,2,,,,,,,,,1,1,1,,,,,,,,,,,0,ESP,USA,1,Player,OLY2020
881,BUSTOS SANCHEZ,Ale andro,9:28,9,28,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,3,ESP,USA,1,Player,OLY2020
882,,,,,,12,29,4,12,1,2,,,3,9,1,1,,,2,2,1,3,2,9,5,4,1,4,11,3,,1,,,,15,ESP,USA,1,Team,OLY2020
883,BRGULJAN,Drasko,22:15,22,15,1,6,0,3,,,,,1,3,,,,,,,,,,1,2,2,0,2,,,,,,,,0,MNE,CRO,0,Player,OLY2020
884,PERKOVIC,Miroslav,9:45,9,45,2,3,,,2,3,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,MNE,CRO,0,Player,OLY2020
885,PETKOVIC,Marko,25:06:00,25,6,0,7,0,5,,,,,0,1,0,1,,,,,,,,2,,,,,1,,,,,,,1,MNE,CRO,0,Player,OLY2020
886,CUCKOVIC,Uros,6:25,6,25,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,MNE,CRO,0,Player,OLY2020
887,POPADIC,Vlado,21:57,21,57,0,2,0,1,,,,,0,1,,,,,,,,,1,2,,,1,2,1,,,,1,,,2,MNE,CRO,0,Player,OLY2020
888,VIDOVIC,Stefan,16:31,16,31,1,2,,,,,,,1,2,,,,,,,,,,1,,,,,1,,,,,,,1,MNE,CRO,0,Player,OLY2020
889,UKROPINA,Aleksa,20:52,20,52,1,5,0,2,0,1,,,1,1,,,,,,,0,1,,2,3,,,,1,,,,,,,1,MNE,CRO,0,Player,OLY2020
890,IVOVIC,Aleksandar,30:49:00,30,49,3,4,2,2,,,,,,,0,1,,,,,1,1,,,1,,,,,,,,,,,0,MNE,CRO,0,Player,OLY2020
891,SPAIC,Vladan,9:29,9,29,0,2,,,0,1,,,0,1,,,,,,,,,2,,,,,,,,,,,,,0,MNE,CRO,0,Player,OLY2020
892,MATKOVIC,Dusan,23:29,23,29,2,4,0,1,,,,,0,1,,,,,1,1,1,1,,,,,,,,,,,,,,0,MNE,CRO,0,Player,OLY2020
893,BANICEVIC,Dusan,5:22,5,22,0,1,,,0,1,,,,,,,,,,,,,,,,,,,1,,,,,,,1,MNE,CRO,0,Player,OLY2020
894,TESANOVIC,Petar,32:00:00,32,0,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,0,MNE,CRO,0,Player,OLY2020
895,,,,,,10,36,2,14,2,6,,,3,10,0,2,,,1,1,2,3,4,10,6,2,1,4,8,,,,1,,,9,MNE,CRO,0,Team,OLY2020
896,MACAN,Marko,10:52,10,52,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3,CRO,MNE,1,Player,OLY2020
897,FATOVIC,Loren,17:38,17,38,2,2,1,1,,,,,1,1,,,,,,,,,1,,1,1,,,,,1,,,,,1,CRO,MNE,1,Player,OLY2020
898,LONCAR,Luka,17:43,17,43,2,2,,,1,1,,,1,1,,,,,,,,,,,1,,,,,,,,,,,0,CRO,MNE,1,Player,OLY2020
899,JOKOVIC,Maro,24:53:00,24,53,1,2,0,1,,,1,1,,,,,,,,,,,,,,3,,,,,,,,,1,1,CRO,MNE,1,Player,OLY2020
900,BUKIC,Luka,26:30:00,26,30,0,4,,,,,,,0,4,,,,,,,,,,,1,,1,1,1,,,,,,,1,CRO,MNE,1,Player,OLY2020
901,VUKICEVIC,Ante,21:06,21,6,3,7,2,5,,,,,0,1,,,,,,,1,1,,1,1,,,,1,,,,,,,1,CRO,MNE,1,Player,OLY2020
902,BUSLJE,Andro,15:20,15,20,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,2,CRO,MNE,1,Player,OLY2020
903,MILOS,Lovre,22:05,22,5,1,4,1,3,,,,,,,,,,,,,0,1,,,1,,2,3,,,,,,,,0,CRO,MNE,1,Player,OLY2020
904,VRLIC,Josip,14:17,14,17,2,2,,,2,2,,,,,,,,,,,,,,1,,1,,,,1,,,,,,1,CRO,MNE,1,Player,OLY2020
905,OBRADOVIC,Paulo,8:06,8,6,1,1,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,1,,,1,CRO,MNE,1,Player,OLY2020
906,GARCIA GADEA,Javier,13:30,13,30,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,CRO,MNE,1,Player,OLY2020
907,MARCELIC,Ivan,32:00:00,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,CRO,MNE,1,Player,OLY2020
908,,,,,,12,24,4,10,3,3,1,1,3,8,,,,,,,1,2,4,3,6,5,3,4,7,2,1,,1,,1,12,CRO,MNE,1,Team,OLY2020
909,Del LUNGO,Marco,32:00:00,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ITA,USA,0,Player,OLY2020
910,Di FULVIO,Francesco,22:55,22,55,0,3,0,1,,,,,0,1,,,,,0,1,,,1,,,,0,2,,2,,,,,,2,ITA,USA,0,Player,OLY2020
911,LUONGO,Stefano,14:12,14,12,0,3,0,2,,,,,0,1,,,,,,,,,1,,1,1,,,,,,,,,,0,ITA,USA,0,Player,OLY2020
912,FIGLIOLI,Pietro,20:37,20,37,2,7,1,3,,,,,1,3,,,,,,,0,1,,,,,2,2,,,,,,,,0,ITA,USA,0,Player,OLY2020
913,PRESCIUTTI,Nicholas,22:49,22,49,1,2,,,,,,,1,1,0,1,,,,,,,,,2,1,,,2,,,,,,,2,ITA,USA,0,Player,OLY2020
914,VELOTTO,Alessandro,20:05,20,5,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ITA,USA,0,Player,OLY2020
915,RENZUTO IODICE,Vincenzo,25:06:00,25,6,2,4,1,2,,,,,1,2,,,,,,,,,,1,1,1,,,,,,,1,,1,2,ITA,USA,0,Player,OLY2020
916,ECHENIQUE,Gonzalo,16:48,16,48,0,2,,,,,,,0,2,,,,,,,,,,,,,,,,,,,,,,0,ITA,USA,0,Player,OLY2020
917,FIGARI,Niccolo,10:18,10,18,0,1,0,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,ITA,USA,0,Player,OLY2020
918,BODEGAS,Michael Alexandre,12:37,12,37,1,1,,,1,1,,,,,,,,,,,,,3,1,,,,,,,,,1,,,1,ITA,USA,0,Player,OLY2020
919,AICARDI,Matteo,19:23,19,23,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,0,ITA,USA,0,Player,OLY2020
920,DOLCE,Vincenzo,7:10,7,10,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,2,ITA,USA,0,Player,OLY2020
921,,,,,,6,24,2,10,1,1,,,3,10,0,1,,,0,1,0,1,7,4,5,4,2,4,3,3,,1,2,,1,10,ITA,USA,0,Team,OLY2020
922,HOOPER,Johnny,17:37,17,37,2,4,0,2,,,,,1,1,,,,,,,1,1,1,,,,2,4,,,,,,,1,1,USA,ITA,1,Player,OLY2020
923,VAVIC,Marko,16:21,16,21,0,2,0,1,,,,,0,1,,,,,,,,,,,2,1,,,,,,,1,,,1,USA,ITA,1,Player,OLY2020
924,OBERT,Alex,14:49,14,49,1,1,,,1,1,,,,,,,,,,,,,,,,1,,,2,,,,,,,2,USA,ITA,1,Player,OLY2020
925,DAUBE,Hannes,24:56:00,24,56,0,3,0,2,,,,,0,1,,,,,,,,,,,1,1,,,,1,,,1,,,2,USA,ITA,1,Player,OLY2020
926,CUPIDO,Luca,28:35:00,28,35,0,6,0,2,,,,,0,2,0,1,,,,,0,1,2,2,,,,,2,,,,,,,2,USA,ITA,1,Player,OLY2020
927,HALLOCK,Ben,20:43,20,43,0,2,,,0,1,,,0,1,,,,,,,,,3,1,,,,,,,,,,,,0,USA,ITA,1,Player,OLY2020
928,WOODHEAD,Dylan,9:47,9,47,1,2,,,,,,,1,2,,,,,,,,,,,1,,,,2,1,,,,,,3,USA,ITA,1,Player,OLY2020
929,BOWEN,Alex,17:54,17,54,3,5,1,2,,,,,1,2,,,,,1,1,,,,1,,,,,1,1,,,1,,,3,USA,ITA,1,Player,OLY2020
930,STEVENSON,Ben,12:31,12,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,USA,ITA,1,Player,OLY2020
931,SMITH,Jesse,9:37,9,37,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,USA,ITA,1,Player,OLY2020
932,IRVING,Max,19:10,19,10,0,2,0,1,,,,,0,1,,,,,,,,,,1,2,2,,,1,,,,2,,,3,USA,ITA,1,Player,OLY2020
933,HOLLAND,Drew,32:00:00,32,0,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,0,USA,ITA,1,Player,OLY2020
934,,,,,,7,27,1,10,1,2,,,3,11,0,1,,,1,1,1,2,8,8,6,5,2,4,9,3,,,5,,1,18,USA,ITA,1,Team,OLY2020
935,ZERDEVAS,Emmanouil,32:00:00,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,GRE,HUN,1,Player,OLY2020
936,GENIDOUNIAS,Konstantinos,30:37:00,30,37,0,6,0,4,,,,,0,2,,,,,,,,,,,,2,0,1,1,,,1,,,,2,GRE,HUN,1,Player,OLY2020
937,SKOUMPAKIS,Dimitrios,9:57,9,57,1,2,1,1,0,1,,,,,,,,,,,,,,,,,,,3,,,,,1,,4,GRE,HUN,1,Player,OLY2020
938,KAPOTSIS,Marios,18:14,18,14,0,1,0,1,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,2,GRE,HUN,1,Player,OLY2020
939,FOUNTOULIS,Ioannis,25:46:00,25,46,1,7,1,4,,,,,0,3,,,,,,,,,,,4,1,,,1,1,,,,,,2,GRE,HUN,1,Player,OLY2020
940,PAPANASTASIOU,Alexandros,15:24,15,24,,,,,,,,,,,,,,,,,,,,,,,2,3,2,1,,,,1,,4,GRE,HUN,1,Player,OLY2020
941,DERVISIS,Georgios,8:18,8,18,0,1,0,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3,GRE,HUN,1,Player,OLY2020
942,ARGYROPOULOS KANAKAKIS,Stylianos,12:29,12,29,4,6,0,1,,,,,4,5,,,,,,,,,,,,,,,2,,,,,,,2,GRE,HUN,1,Player,OLY2020
943,MOURIKIS,Konstantinos,12:28,12,28,0,1,,,,,,,0,1,,,,,,,,,2,,,,,,,,,,,,,0,GRE,HUN,1,Player,OLY2020
944,KOLOMVOS,Christodoulos,15:09,15,9,,,,,,,,,,,,,,,,,,,,,1,2,,,2,,,,,,,2,GRE,HUN,1,Player,OLY2020
945,GKIOUVETSIS,Konstantinos,11:38,11,38,2,2,,,,,,,2,2,,,,,,,,,,2,1,,,,,,,,,,,0,GRE,HUN,1,Player,OLY2020
946,VLACHOPOULOS,Angelos,32:00:00,32,0,1,3,0,2,,,,,1,1,,,,,,,,,,1,,2,,,,,,,,,,0,GRE,HUN,1,Player,OLY2020
947,,,,,,9,29,2,14,0,1,,,7,14,,,,,,,,,6,3,6,8,2,4,15,3,,1,,2,,21,GRE,HUN,1,Team,OLY2020
948,NAGY,Viktor,32:00:00,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,HUN,GRE,0,Player,OLY2020
949,ANGYAL,Daniel,17:14,17,14,0,3,0,2,,,,,0,1,,,,,,,,,1,,,,,,1,,,,1,,,2,HUN,GRE,0,Player,OLY2020
950,MANHERCZ,Krisztian,28:36:00,28,36,2,5,0,1,,,,,2,3,0,1,,,,,,,,,,1,1,1,,,,,,,,0,HUN,GRE,0,Player,OLY2020
951,ZALANKI,Gergo,27:01:00,27,1,1,7,1,4,,,,,0,3,,,,,,,,,,1,2,,1,1,,,,,,,,0,HUN,GRE,0,Player,OLY2020
952,VAMOS,Marton,17:17,17,17,1,3,0,1,,,,,1,2,,,,,,,,,,,,,,,,1,,,1,1,,3,HUN,GRE,0,Player,OLY2020
953,HOSNYANSZKY,Norbert,5:19,5,19,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,3,HUN,GRE,0,Player,OLY2020
954,PASZTOR,Matyas,10:38,10,38,1,2,0,1,,,,,1,1,,,,,,,,,,,1,,,,1,,,,,,,1,HUN,GRE,0,Player,OLY2020
955,JANSIK,Szilard,7:48,7,48,0,1,0,1,,,,,,,,,,,,,,,1,,,1,,,3,,,,,,,3,HUN,GRE,0,Player,OLY2020
956,ERDELYI,Balazs,21:41,21,41,0,2,0,1,,,,,0,1,,,,,,,,,,1,2,3,0,2,1,,,,,,,1,HUN,GRE,0,Player,OLY2020
957,VARGA,Denes,29:14:00,29,14,1,4,1,2,,,,,0,2,,,,,,,,,,,2,,,,,,,,1,,,1,HUN,GRE,0,Player,OLY2020
958,MEZEI,Tamas,12:53,12,53,,,,,,,,,,,,,,,,,,,2,,1,,,,,,1,,,,,1,HUN,GRE,0,Player,OLY2020
959,HARAI,Balazs,14:19,14,19,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,2,HUN,GRE,0,Player,OLY2020
960,,,,,,6,27,2,13,,,,,4,13,0,1,,,,,,,4,2,9,6,2,4,10,1,1,,3,2,,17,HUN,GRE,0,Team,OLY2020
961,MANDIC,Dusan,17:35,17,35,3,3,,,,,,,3,3,,,,,,,,,1,,1,1,,,1,1,,,,,,2,SRB,ESP,1,Player,OLY2020
962,DEDOVIC,Nikola,24:06:00,24,6,0,1,,,,,,,0,1,,,,,,,,,,,1,,0,1,2,,,,,,,2,SRB,ESP,1,Player,OLY2020
963,RANDELOVIC,Sava,3:46,3,46,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3,SRB,ESP,1,Player,OLY2020
964,LAZIC,Dorde,13:55,13,55,0,1,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,0,SRB,ESP,1,Player,OLY2020
965,PIJETLOVIC,Dusko,11:48,11,48,0,1,,,,,,,0,1,,,,,,,,,,,,1,,,3,,,,,,,3,SRB,ESP,1,Player,OLY2020
966,RASOVIC,Strahin a,24:14:00,24,14,2,6,0,3,,,,,2,3,,,,,,,,,,,2,1,1,3,,,,,,,,0,SRB,ESP,1,Player,OLY2020
967,ALEKSIC,Milan,11:45,11,45,0,2,0,2,,,,,,,,,,,,,,,,1,2,,,,2,,,,,,,2,SRB,ESP,1,Player,OLY2020
968,JAKSIC,Nikola,18:34,18,34,1,1,,,,,,,1,1,,,,,,,,,,,1,,,,1,1,,,,,,2,SRB,ESP,1,Player,OLY2020
969,FILIPOVIC,Filip,26:18:00,26,18,2,3,,,,,,,1,1,1,2,,,,,,,2,2,,3,,,,1,,,,,,1,SRB,ESP,1,Player,OLY2020
970,PRLAINOVIC,Andri a,19:01,19,1,1,7,0,4,,,,,1,3,,,,,,,,,1,,1,1,,,1,1,,,1,,,3,SRB,ESP,1,Player,OLY2020
971,MITROVIC,Stefan,20:58,20,58,1,3,1,1,0,1,,,0,1,,,,,,,,,,,,,,,,,,1,1,,,2,SRB,ESP,1,Player,OLY2020
972,MITROVIC,Branislav,32:00:00,32,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,SRB,ESP,1,Player,OLY2020
973,,,,,,10,28,1,10,0,1,,,8,15,1,2,,,,,,,4,4,8,7,1,4,13,4,,1,2,,,20,SRB,ESP,1,Team,OLY2020
974,LOPEZ PINEDO,Daniel,31:35:00,31,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ESP,SRB,0,Player,OLY2020
975,MUNARRIZ EGANA,Alberto,25:27:00,25,27,2,4,0,2,,,,,1,1,,,,,,,1,1,1,1,1,1,,,,,,1,,,,1,ESP,SRB,0,Player,OLY2020
976,GRANADOS ORTEGA,Alvaro,24:34:00,24,34,1,7,0,3,,,,,1,4,,,,,,,,,,2,3,,,,1,1,,,,,,2,ESP,SRB,0,Player,OLY2020
977,SANAHUJA,Bernat,16:37,16,37,0,4,0,1,,,,,0,3,,,,,,,,,,,,,1,1,1,,,1,,,,2,ESP,SRB,0,Player,OLY2020
978,de TORO DOMINGUEZ,Miguel,10:21,10,21,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,3,ESP,SRB,0,Player,OLY2020
979,LARUMBE GONFAUS,Marc,21:45,21,45,0,3,0,3,,,,,,,,,,,,,,,1,,,2,,,1,,,,,,,1,ESP,SRB,0,Player,OLY2020
980,FAMERA,Martin,18:43,18,43,0,1,0,1,,,,,,,,,,,,,,,,1,2,,2,3,2,,,,,,,2,ESP,SRB,0,Player,OLY2020
981,FERNANDEZ MIRANDA,Francisco,14:48,14,48,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,ESP,SRB,0,Player,OLY2020
982,TAHULL COMPTE,Roger,15:30,15,30,2,5,0,1,0,1,,,2,3,,,,,,,,,,,1,,,,2,,,,,,,2,ESP,SRB,0,Player,OLY2020
983,PERRONE ROCHA,Felipe,23:43,23,43,1,3,0,1,,,,,1,2,,,,,,,,,,,1,,,,2,1,,,,,,3,ESP,SRB,0,Player,OLY2020
984,MALLARACH GUELL,Blai,14:20,14,20,2,5,0,1,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,0,ESP,SRB,0,Player,OLY2020
985,BUSTOS SANCHEZ,Ale andro,6:37,6,37,1,1,,,,,1,1,,,,,,,,,,,1,,,,,,3,,,,,,,3,ESP,SRB,0,Player,OLY2020
986,,,,,,9,33,0,13,0,1,1,1,7,17,,,,,,,1,1,4,4,8,3,3,4,15,2,,2,1,,,20,ESP,SRB,0,Team,OLY2020
987,KANDIC,Slaven,32:00:00,32,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,MNE,ITA,0,Player,OLY2020
988,BRGULJAN,Drasko,26:12:00,26,12,2,3,2,3,,,,,,,,,,,,,,,,2,1,,1,3,,,1,,,,,1,MNE,ITA,0,Player,OLY2020
989,PERKOVIC,Miroslav,10:42,10,42,1,3,,,0,2,,,1,1,,,,,,,,,,,1,,,,1,,,,,,,1,MNE,ITA,0,Player,OLY2020
990,PETKOVIC,Marko,20:33,20,33,1,3,0,2,,,,,1,1,,,,,,,,,,,1,,,,,,,,1,,,1,MNE,ITA,0,Player,OLY2020
991,CUCKOVIC,Uros,16:24,16,24,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,MNE,ITA,0,Player,OLY2020
992,POPADIC,Vlado,20:03,20,3,1,4,,,,,1,1,0,1,0,1,,,,,0,1,1,1,1,1,,,,,,,,,,0,MNE,ITA,0,Player,OLY2020
993,VIDOVIC,Stefan,9:47,9,47,0,3,0,1,,,,,0,2,,,,,,,,,1,,,,,,,,,,,,,0,MNE,ITA,0,Player,OLY2020
994,UKROPINA,Aleksa,22:19,22,19,2,5,1,4,,,,,1,1,,,,,,,,,,3,1,,0,1,,,,,,,,0,MNE,ITA,0,Player,OLY2020
995,IVOVIC,Aleksandar,31:06:00,31,6,6,13,1,5,,,,,1,2,0,1,,,4,4,0,1,,4,1,,,,,,,,,,,0,MNE,ITA,0,Player,OLY2020
996,SPAIC,Vladan,8:50,8,50,1,2,,,1,2,,,,,,,,,,,,,1,,,,,,,1,,,,,,1,MNE,ITA,0,Player,OLY2020
997,MATKOVIC,Dusan,21:06,21,6,0,2,0,1,,,,,0,1,,,,,,,,,,1,1,2,,,,1,,,,,,1,MNE,ITA,0,Player,OLY2020
998,BANICEVIC,Dusan,4:58,4,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,MNE,ITA,0,Player,OLY2020
999,,,,,,14,38,4,16,1,4,1,1,4,9,0,2,,,4,4,0,2,3,12,7,3,1,4,2,2,1,,1,,,6,MNE,ITA,0,Team,OLY2020
1000,Di FULVIO,Francesco,30:20:00,30,20,4,8,3,5,,,,,0,2,1,1,,,,,,,2,1,,2,2,3,,,,1,1,,,2,ITA,MNE,1,Player,OLY2020
1001,LUONGO,Stefano,14:58,14,58,0,3,0,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,ITA,MNE,1,Player,OLY2020
1002,FIGLIOLI,Pietro,16:03,16,3,0,1,,,,,,,0,1,,,,,,,,,,,1,,,,,,,,2,,,2,ITA,MNE,1,Player,OLY2020
1003,PRESCIUTTI,Nicholas,23:30,23,30,1,1,1,1,,,,,,,,,,,,,,,,3,1,,,,,,,,,,1,1,ITA,MNE,1,Player,OLY2020
1004,VELOTTO,Alessandro,23:54,23,54,5,7,4,5,,,0,1,1,1,,,,,,,,,,3,1,,1,1,,,1,,,,,1,ITA,MNE,1,Player,OLY2020
1005,RENZUTO IODICE,Vincenzo,21:35,21,35,2,2,1,1,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,1,ITA,MNE,1,Player,OLY2020
1006,ECHENIQUE,Gonzalo,7:48,7,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ITA,MNE,1,Player,OLY2020
