,Last,First,Play Time,Minutes,Seconds,Goals,Shots,Action Goals,Action Shots,Center Goals,Center Shots,Drive Goals,Drive Shots,Extra Goals,Extra Shots,Foul Goals,Foul Shots,6MF Goals,6MF Shots,PS Goals,PS Shots,CA Goals,CA Shots,TF,ST,RB,BL,SP Won,SP Attempts,CP EX,FP EX,DS EX,M6 EX,CS EX,DE,P EX,Total EX,Team,Opponent,Outcome,stat_type,Tournament
712,MITROVIC,Branislav,32:00:00,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,SRB,MNE,1,Player,OLY2020
713,,,,,,13,35,1,14,2,5,1,1,3,7,0,1,,,5,5,1,2,4,8,5,7,2,4,6,2,,,1,,3,12,SRB,MNE,1,Team,OLY2020
714,KANDIC,Slaven,32:00:00,32,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,MNE,SRB,0,Player,OLY2020
715,BRGULJAN,Drasko,16:05,16,5,0,5,0,3,,,,,0,2,,,,,,,,,,,,,1,3,,,,,,,2,2,MNE,SRB,0,Player,OLY2020
716,PERKOVIC,Miroslav,12:56,12,56,0,1,,,0,1,,,,,,,,,,,,,3,,1,,,,,,1,,,,1,2,MNE,SRB,0,Player,OLY2020
717,PETKOVIC,Marko,23:13,23,13,0,3,0,2,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,0,MNE,SRB,0,Player,OLY2020
718,CUCKOVIC,Uros,12:29,12,29,0,2,0,2,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,MNE,SRB,0,Player,OLY2020
719,POPADIC,Vlado,21:31,21,31,0,1,,,,,,,,,,,,,,,0,1,1,2,1,1,,,,,,,,,1,1,MNE,SRB,0,Player,OLY2020
720,VIDOVIC,Stefan,17:07,17,7,0,2,0,1,,,,,0,1,,,,,,,,,,,,2,,,1,,,,,,1,2,MNE,SRB,0,Player,OLY2020
721,UKROPINA,Aleksa,22:07,22,7,1,6,1,4,,,,,0,2,,,,,,,,,,,,1,1,1,1,,,,,,,1,MNE,SRB,0,Player,OLY2020
722,IVOVIC,Aleksandar,24:58:00,24,58,3,6,1,2,,,,,0,2,,,,,2,2,,,,,1,1,,,,,,,,,,0,MNE,SRB,0,Player,OLY2020
723,MATKOVIC,Dusan,25:47:00,25,47,2,5,0,3,,,,,1,1,,,,,1,1,,,,1,1,,,,1,,,1,,,,2,MNE,SRB,0,Player,OLY2020
724,BANICEVIC,Dusan,15:47,15,47,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,1,MNE,SRB,0,Player,OLY2020
725,TESANOVIC,Petar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,MNE,SRB,0,Player,OLY2020
726,,,,,,6,31,2,17,0,1,,,1,9,,,,,3,3,0,1,7,5,5,5,2,4,5,,1,1,,,5,12,MNE,SRB,0,Team,OLY2020
727,MUNARRIZ EGANA,Alberto,23:05,23,5,1,7,1,7,,,,,,,,,,,,,,,,,2,1,,,1,,,,,,,1,ESP,CRO,1,Player,OLY2020
728,GRANADOS ORTEGA,Alvaro,20:25,20,25,2,7,1,4,,,,,0,1,,,,,1,2,,,,,2,,,,,,,,,,,0,ESP,CRO,1,Player,OLY2020
729,SANAHUJA,Bernat,13:23,13,23,1,4,0,3,,,,,1,1,,,,,,,,,,,,,0,1,1,,,,,,,1,ESP,CRO,1,Player,OLY2020
730,de TORO DOMINGUEZ,Miguel,12:52,12,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ESP,CRO,1,Player,OLY2020
731,LARUMBE GONFAUS,Marc,19:09,19,9,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,,,,,,,1,ESP,CRO,1,Player,OLY2020
732,FAMERA,Martin,19:44,19,44,1,3,0,1,,,,,1,2,,,,,,,,,,,1,1,3,3,,1,,,,,,1,ESP,CRO,1,Player,OLY2020
733,FERNANDEZ MIRANDA,Francisco,17:27,17,27,0,2,0,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,ESP,CRO,1,Player,OLY2020
734,TAHULL COMPTE,Roger,13:49,13,49,1,3,,,1,2,,,0,1,,,,,,,,,,1,1,1,,,,,,,,,,0,ESP,CRO,1,Player,OLY2020
735,PERRONE ROCHA,Felipe,22:15,22,15,0,3,0,2,,,,,0,1,,,,,,,,,,1,,1,,,1,,,,,,,1,ESP,CRO,1,Player,OLY2020
736,MALLARACH GUELL,Blai,12:50,12,50,1,2,0,1,,,,,1,1,,,,,,,,,1,,1,,,,,,,,,,,0,ESP,CRO,1,Player,OLY2020
737,BUSTOS SANCHEZ,Ale andro,17:01,17,1,1,1,,,,,,,1,1,,,,,,,,,1,1,3,1,,,1,,,,,,,1,ESP,CRO,1,Player,OLY2020
738,AGUIRRE,Unai,32:00:00,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ESP,CRO,1,Player,OLY2020
739,,,,,,8,32,2,20,1,2,,,4,8,,,,,1,2,,,5,4,11,6,3,4,6,1,,,,,,7,ESP,CRO,1,Team,OLY2020
740,BIJAC,Marko,24:00:00,24,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,CRO,ESP,0,Player,OLY2020
741,MACAN,Marko,7:55,7,55,1,1,,,,,,,1,1,,,,,,,,,,,,,,,2,,,,,,1,3,CRO,ESP,0,Player,OLY2020
742,FATOVIC,Loren,19:36,19,36,1,6,0,4,,,1,1,0,1,,,,,,,,,1,,1,,,,1,,,,,,,1,CRO,ESP,0,Player,OLY2020
743,LONCAR,Luka,18:35,18,35,0,1,,,0,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,0,CRO,ESP,0,Player,OLY2020
744,JOKOVIC,Maro,25:04:00,25,4,0,3,0,2,,,,,,,0,1,,,,,,,,,2,1,,,1,,,,,,,1,CRO,ESP,0,Player,OLY2020
745,BUKIC,Luka,26:51:00,26,51,2,6,1,4,,,,,1,2,,,,,,,,,,2,,,1,2,,,,,,,,0,CRO,ESP,0,Player,OLY2020
746,VUKICEVIC,Ante,24:11:00,24,11,0,5,0,3,,,,,0,2,,,,,,,,,,,2,1,,,,,,,,,,0,CRO,ESP,0,Player,OLY2020
747,BUSLJE,Andro,14:55,14,55,0,4,0,3,,,,,0,1,,,,,,,,,,,,1,,,,1,,,1,,,2,CRO,ESP,0,Player,OLY2020
748,MILOS,Lovre,21:04,21,4,,,,,,,,,,,,,,,,,,,,1,,,0,2,,,,,,,1,1,CRO,ESP,0,Player,OLY2020
749,VRLIC,Josip,14:36,14,36,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,CRO,ESP,0,Player,OLY2020
750,GARCIA GADEA,Javier,19:13,19,13,0,2,0,1,,,,,0,1,,,,,,,,,,,,1,,,,1,,,,,,1,CRO,ESP,0,Player,OLY2020
751,MARCELIC,Ivan,8:00,8,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,CRO,ESP,0,Player,OLY2020
752,,,,,,4,28,1,17,0,1,1,1,2,8,0,1,,,,,,,2,5,6,5,1,4,5,2,,,1,,2,10,CRO,ESP,0,Team,OLY2020
753,CAMPBELL,Richard,23:11,23,11,2,5,0,1,,,,,2,4,,,,,,,,,,1,,,,,2,,,,,,,2,AUS,KAZ,1,Player,OLY2020
754,FORD,George,12:10,12,10,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,1,AUS,KAZ,1,Player,OLY2020
755,TOMASEVIC,Goran,12:53,12,53,0,2,,,0,1,,,0,1,,,,,,,,,2,1,,,,,2,,,,,,,2,AUS,KAZ,1,Player,OLY2020
756,POWER,Nathan,10:41,10,41,0,1,,,,,,,0,1,,,,,,,,,,,,,,,1,,,,,,,1,AUS,KAZ,1,Player,OLY2020
757,EDWARDS,Lachlan Robert,19:52,19,52,1,3,,,1,3,,,,,,,,,,,,,2,,1,,,,1,,,,,,,1,AUS,KAZ,1,Player,OLY2020
758,ROACH,Aidan,11:04,11,4,,,,,,,,,,,,,,,,,,,1,1,2,,,,,2,,,,,,2,AUS,KAZ,1,Player,OLY2020
759,YOUNGER,Aaron,20:43,20,43,2,5,1,3,,,,,1,1,,,,,,,0,1,,2,1,,,,1,,,,,,,1,AUS,KAZ,1,Player,OLY2020
760,FORD,Andrew,19:37,19,37,1,4,1,3,,,,,0,1,,,,,,,,,,,,,,,1,1,,,,,,2,AUS,KAZ,1,Player,OLY2020
761,PUTT,Timothy Francis,14:49,14,49,1,2,1,1,0,1,,,,,,,,,,,,,,,1,,,,,,,,,,,0,AUS,KAZ,1,Player,OLY2020
762,HOWDEN,Rhys,19:02,19,2,5,7,1,2,,,1,1,3,4,,,,,,,,,,1,1,,4,4,,,,,,,,0,AUS,KAZ,1,Player,OLY2020
763,EDWARDS,Blake,27:58:00,27,58,3,4,1,2,,,,,,,,,,,,,2,2,,2,,,,,1,,,,,,,1,AUS,KAZ,1,Player,OLY2020
764,DENNERLEY,Joel,32:00:00,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,AUS,KAZ,1,Player,OLY2020
765,,,,,,15,33,5,12,1,5,1,1,6,12,,,,,,,2,3,5,8,8,,4,4,9,3,,,1,,,13,AUS,KAZ,1,Team,OLY2020
766,MAKHMETOV,Madikhan,32:00:00,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,KAZ,AUS,0,Player,OLY2020
767,MEDVEDEV,Yevgeniy,22:20,22,20,0,3,0,2,,,,,0,1,,,,,,,,,,1,1,1,,,,,,1,1,,,2,KAZ,AUS,0,Player,OLY2020
768,AUBAKIROV,Miras,22:13,22,13,,,,,,,,,,,,,,,,,,,1,,2,,0,1,,1,,,,,,1,KAZ,AUS,0,Player,OLY2020
769,MARKOVIC,Dusan,20:12,20,12,0,2,0,1,,,,,0,1,,,,,,,,,,1,1,3,,,1,,,,,,,1,KAZ,AUS,0,Player,OLY2020
770,SHMIDER,Alexey,21:17,21,17,1,4,0,2,,,,,1,2,,,,,,,,,,,1,,,,1,,,,,,,1,KAZ,AUS,0,Player,OLY2020
771,ARTYUKH,Danil,5:24,5,24,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3,KAZ,AUS,0,Player,OLY2020
772,SHAKENOV,Murat,24:48:00,24,48,2,5,2,5,,,,,,,,,,,,,,,,1,,1,,,,1,,,1,,,2,KAZ,AUS,0,Player,OLY2020
773,VUKSANOVIC,Srdan,2:10,2,10,0,2,,,,,,,0,2,,,,,,,,,,,,,0,1,,,,,,,,0,KAZ,AUS,0,Player,OLY2020
774,UKUMANOV,Rustam,21:31,21,31,2,4,,,1,1,,,1,3,,,,,,,,,,,,1,,,,1,,,,,,1,KAZ,AUS,0,Player,OLY2020
775,RUDAY,Mikhail,16:29,16,29,1,3,1,1,0,2,,,,,,,,,,,,,,,,,,,1,,,,,,,1,KAZ,AUS,0,Player,OLY2020
776,ALTAYEV,Altay,15:12,15,12,0,1,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,KAZ,AUS,0,Player,OLY2020
777,SHVEDOV,Stanislav,20:24,20,24,1,3,1,1,,,,,0,2,,,,,,,,,,,,,0,2,,,,,,,,0,KAZ,AUS,0,Player,OLY2020
778,,,,,,7,27,4,12,1,4,,,2,11,,,,,,,,,3,3,5,6,0,4,6,3,,1,2,,,12,KAZ,AUS,0,Team,OLY2020
779,ZERDEVAS,Emmanouil,32:00:00,32,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,GRE,MNE,1,Player,OLY2020
780,GENIDOUNIAS,Konstantinos,25:08:00,25,8,5,10,3,7,,,,,0,1,,,,,2,2,,,,1,,,0,1,,,,,,,,0,GRE,MNE,1,Player,OLY2020
781,SKOUMPAKIS,Dimitrios,6:18,6,18,0,2,0,2,,,,,,,,,,,,,,,1,,,,,,3,,,,,,,3,GRE,MNE,1,Player,OLY2020
782,KAPOTSIS,Marios,17:22,17,22,1,3,1,2,,,,,,,,,,,,,0,1,,,1,1,,,2,,,,,,,2,GRE,MNE,1,Player,OLY2020
783,FOUNTOULIS,Ioannis,25:23:00,25,23,1,6,1,6,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,0,GRE,MNE,1,Player,OLY2020
784,PAPANASTASIOU,Alexandros,21:09,21,9,1,1,,,,,,,1,1,,,,,,,,,,,,,2,3,1,,,,,,,1,GRE,MNE,1,Player,OLY2020
785,DERVISIS,Georgios,19:35,19,35,0,1,0,1,,,,,,,,,,,,,,,,1,,3,,,1,,,,,,,1,GRE,MNE,1,Player,OLY2020
786,ARGYROPOULOS KANAKAKIS,Stylianos,22:33,22,33,1,3,1,1,,,,,0,2,,,,,,,,,1,,2,,,,1,,,,,,,1,GRE,MNE,1,Player,OLY2020
787,MOURIKIS,Konstantinos,11:18,11,18,0,2,0,1,0,1,,,,,,,,,,,,,,,,,,,1,,,,,,,1,GRE,MNE,1,Player,OLY2020
788,KOLOMVOS,Christodoulos,8:33,8,33,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,0,GRE,MNE,1,Player,OLY2020
789,GKIOUVETSIS,Konstantinos,9:59,9,59,1,2,0,1,,,,,1,1,,,,,,,,,1,,1,,,,,,,,,,,0,GRE,MNE,1,Player,OLY2020
790,VLACHOPOULOS,Angelos,24:42:00,24,42,0,2,,,,,,,0,2,,,,,,,,,,2,,,,,1,,,,1,,,2,GRE,MNE,1,Player,OLY2020
791,,,,,,10,32,6,21,0,1,,,2,7,,,,,2,2,0,1,5,6,7,5,2,4,10,,,,1,,,11,GRE,MNE,1,Team,OLY2020
792,KANDIC,Slaven,32:00:00,32,0,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,0,MNE,GRE,0,Player,OLY2020
793,BRGULJAN,Drasko,12:05,12,5,1,3,1,3,,,,,,,,,,,,,,,,1,2,,2,3,,,,,,,1,1,MNE,GRE,0,Player,OLY2020
794,PERKOVIC,Miroslav,13:34,13,34,0,3,,,0,2,,,0,1,,,,,,,,,,,,,,,,,,,,,,0,MNE,GRE,0,Player,OLY2020
795,PETKOVIC,Marko,12:16,12,16,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,3,MNE,GRE,0,Player,OLY2020
796,CUCKOVIC,Uros,13:58,13,58,1,3,,,1,1,,,0,2,,,,,,,,,,,,1,,,,,,,,,,0,MNE,GRE,0,Player,OLY2020
797,POPADIC,Vlado,23:51,23,51,0,1,0,1,,,,,,,,,,,,,,,1,,,,0,1,,,,,,,,0,MNE,GRE,0,Player,OLY2020
798,VIDOVIC,Stefan,12:53,12,53,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,MNE,GRE,0,Player,OLY2020
799,UKROPINA,Aleksa,26:50:00,26,50,0,5,0,3,,,,,0,2,,,,,,,,,,,2,1,,,,,,,,,,0,MNE,GRE,0,Player,OLY2020
800,IVOVIC,Aleksandar,30:23:00,30,23,2,4,1,1,,,,,0,2,,,,,,,1,1,1,,1,1,,,,,,,,,,0,MNE,GRE,0,Player,OLY2020
801,SPAIC,Vladan,8:40,8,40,0,1,,,0,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,0,MNE,GRE,0,Player,OLY2020
802,MATKOVIC,Dusan,26:47:00,26,47,0,6,0,5,,,,,0,1,,,,,,,,,,,1,,,,,,,,1,,,1,MNE,GRE,0,Player,OLY2020
803,BANICEVIC,Dusan,10:43,10,43,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,2,MNE,GRE,0,Player,OLY2020
804,,,,,,4,26,2,13,1,4,,,0,8,,,,,,,1,1,5,4,6,4,2,4,5,,,,1,,2,8,MNE,GRE,0,Team,OLY2020
805,Del LUNGO,Marco,32:00:00,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ITA,SRB,0,Player,OLY2020
806,Di FULVIO,Francesco,25:29:00,25,29,1,5,1,2,,,,,0,2,,,,,,,0,1,,2,,,1,2,,1,,,,,,1,ITA,SRB,0,Player,OLY2020
807,LUONGO,Stefano,26:29:00,26,29,1,3,0,1,,,,,1,2,,,,,,,,,,,,,1,1,,,,,,,,0,ITA,SRB,0,Player,OLY2020
808,FIGLIOLI,Pietro,20:46,20,46,0,9,0,6,,,,,0,3,,,,,,,,,,,2,,1,1,,,,,,,,0,ITA,SRB,0,Player,OLY2020
809,PRESCIUTTI,Nicholas,15:06,15,6,2,2,,,,,,,2,2,,,,,,,,,,,,,,,2,,,,,,,2,ITA,SRB,0,Player,OLY2020
810,VELOTTO,Alessandro,22:49,22,49,0,1,0,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,0,ITA,SRB,0,Player,OLY2020
811,RENZUTO IODICE,Vincenzo,8:14,8,14,0,1,0,1,,,,,,,,,,,,,,,1,1,,,,,2,,,,,,1,3,ITA,SRB,0,Player,OLY2020
812,ECHENIQUE,Gonzalo,28:08:00,28,8,0,5,0,3,,,,,0,2,,,,,,,,,,,1,,,,,,,,,,,0,ITA,SRB,0,Player,OLY2020
813,FIGARI,Niccolo,3:46,3,46,1,2,,,,,,,1,2,,,,,,,,,,,,,,,2,,,,,,,2,ITA,SRB,0,Player,OLY2020
814,BODEGAS,Michael Alexandre,18:18,18,18,1,2,,,,,,,1,2,,,,,,,,,2,,,,,,2,,,,,,,2,ITA,SRB,0,Player,OLY2020
815,AICARDI,Matteo,13:42,13,42,0,1,,,,,,,0,1,,,,,,,,,2,,,,,,,,,,,,,0,ITA,SRB,0,Player,OLY2020
816,DOLCE,Vincenzo,9:13,9,13,0,2,0,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,ITA,SRB,0,Player,OLY2020
817,,,,,,6,33,1,16,,,,,5,16,,,,,,,0,1,5,4,4,,3,4,9,1,,,,,1,11,ITA,SRB,0,Team,OLY2020
818,MANDIC,Dusan,19:49,19,49,2,5,1,2,,,,,1,2,,,,,,,0,1,,,,2,,,1,,,,,,,1,SRB,ITA,1,Player,OLY2020
819,DEDOVIC,Nikola,19:30,19,30,1,2,0,1,,,,,1,1,,,,,,,,,,,2,,0,2,1,1,,,,,,2,SRB,ITA,1,Player,OLY2020
820,RANDELOVIC,Sava,5:38,5,38,0,1,,,0,1,,,,,,,,,,,,,,,1,,,,2,,,,,,,2,SRB,ITA,1,Player,OLY2020
821,LAZIC,Dorde,16:10,16,10,,,,,,,,,,,,,,,,,,,2,,,2,,,,,,1,,,,1,SRB,ITA,1,Player,OLY2020
822,PIJETLOVIC,Dusko,15:50,15,50,0,2,,,0,1,,,0,1,,,,,,,,,,,,,,,2,,,,,,,2,SRB,ITA,1,Player,OLY2020
823,RASOVIC,Strahin a,24:14:00,24,14,2,5,1,1,0,1,1,2,,,,,,,,,0,1,2,1,3,,1,2,,,,,,,,0,SRB,ITA,1,Player,OLY2020
824,ALEKSIC,Milan,10:00,10,0,0,1,0,1,,,,,,,,,,,,,,,1,,,1,,,2,,,,,,,2,SRB,ITA,1,Player,OLY2020
825,JAKSIC,Nikola,17:06,17,6,0,2,0,1,,,,,,,0,1,,,,,,,1,,1,,,,1,1,,,,,,2,SRB,ITA,1,Player,OLY2020
826,FILIPOVIC,Filip,23:36,23,36,3,4,3,3,,,,,,,,,,,0,1,,,,,2,2,,,1,,,,,,,1,SRB,ITA,1,Player,OLY2020
827,PRLAINOVIC,Andri a,27:26:00,27,26,2,6,1,2,,,0,1,1,2,0,1,,,,,,,,2,1,,,,,2,,,,,,2,SRB,ITA,1,Player,OLY2020
828,MITROVIC,Stefan,12:41,12,41,0,2,0,1,,,,,0,1,,,,,,,,,,1,,,,,1,,,,2,,,3,SRB,ITA,1,Player,OLY2020
829,MITROVIC,Branislav,32:00:00,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,SRB,ITA,1,Player,OLY2020
830,,,,,,10,30,6,12,0,3,1,3,3,7,0,2,,,0,1,0,2,6,4,10,7,1,4,11,4,,1,2,,,18,SRB,ITA,1,Team,OLY2020
831,NAGY,Viktor,32:00:00,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,HUN,CRO,1,Player,OLY2020
832,ANGYAL,Daniel,9:33,9,33,1,2,0,1,1,1,,,,,,,,,,,,,,,,,,,2,,,,1,,,3,HUN,CRO,1,Player,OLY2020
833,MANHERCZ,Krisztian,28:09:00,28,9,7,8,,,1,1,,,5,5,1,1,,,,,0,1,,2,,1,0,1,,,,,,,,0,HUN,CRO,1,Player,OLY2020
834,ZALANKI,Gergo,26:19:00,26,19,1,1,1,1,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,1,HUN,CRO,1,Player,OLY2020
835,VAMOS,Marton,19:06,19,6,2,6,1,2,,,,,1,4,,,,,,,,,,,3,1,,,1,1,,,,,,2,HUN,CRO,1,Player,OLY2020
836,HOSNYANSZKY,Norbert,4:47,4,47,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3,HUN,CRO,1,Player,OLY2020
837,PASZTOR,Matyas,8:03,8,3,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,1,,,,,,2,HUN,CRO,1,Player,OLY2020
838,JANSIK,Szilard,14:29,14,29,1,3,,,,,,,0,1,,,,,1,1,0,1,1,,2,2,,,2,,,,,,,2,HUN,CRO,1,Player,OLY2020
839,ERDELYI,Balazs,24:38:00,24,38,1,1,,,,,,,1,1,,,,,,,,,1,,1,,1,3,2,,,,1,,,3,HUN,CRO,1,Player,OLY2020
